Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13990.643625273578,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14034.898627365357,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14118.23569860412,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,BUY,14228.464802907683,-63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14168.235005825434,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14159.668035071712,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,BUY,14365.666474086409,140.85000000000036
2021-01-11,Monday,14485.25,14573.95,BUY,14487.20647662513,88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,BUY,14591.941449678916,-15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14587.157993443814,38.0
2021-01-14,Thursday,14596.1,14434.5,BUY,14629.893899865392,-161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14479.243227231367,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,14224.377727801675,-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14493.597370409,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14652.121610786753,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14643.870903970805,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14374.593071860378,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14271.721730323687,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,13973.145525193713,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13803.143186401809,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,13617.232066551887,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14279.22287037514,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14713.585834229014,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,BUY,14802.935676552806,104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,BUY,14889.739511403723,50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14997.947051773648,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15158.095210806012,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15130.04457276277,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,BUY,15140.820579301928,43.25
2021-02-11,Thursday,15181.25,15166.95,BUY,15182.240824978771,-14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15222.999045928409,168.54999999999927
2021-02-15,Monday,15335.5,15318.0,BUY,15349.04030249009,-17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15335.778623433584,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15205.65298012086,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,15108.295897134918,115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15050.75009151365,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14643.797729746035,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,SELL,14671.507313493554,-64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14782.676071269074,324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,15096.042769939488,583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14559.250500711325,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14738.34286438578,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,BUY,14966.2291360588,295.75
2021-03-03,Wednesday,15240.5,15088.3,BUY,15270.044334741424,-152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,SELL,15055.298363071703,125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14970.703129731086,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,14988.232320350122,136.0
2021-03-09,Tuesday,15099.0,15167.4,BUY,15123.966985687031,68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,BUY,15181.855183716121,-144.85000000000036
2021-03-12,Friday,15022.55,14923.05,SELL,14970.023188610608,99.5
2021-03-15,Monday,14923.05,14924.0,BUY,14929.106404868226,0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14954.152843206111,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14737.221597616011,-123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,14554.835836280345,-154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14677.31705973908,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,BUY,14767.207850023953,65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,14808.042750248305,247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14577.717456597837,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,SELL,14340.535622009711,-170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14473.398601587236,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14903.523807906748,-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,SELL,14686.618864716378,-173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14822.757155376967,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,BUY,14698.575646650634,49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14696.362384018352,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,14804.102301935538,-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14880.363759184167,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,SELL,14808.984939769569,483.34999999999854
2021-04-12,Monday,14354.7,14525.7,BUY,14408.22909771669,171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14483.423823730882,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,BUY,14627.918290457017,3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14599.279635870907,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14271.588701152134,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,BUY,14333.390875567487,119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14369.38088499809,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14345.703243546557,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,SELL,14469.623449667848,-166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14625.124686704603,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,BUY,14691.783495483678,-138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,SELL,14481.853251275877,-128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,BUY,14647.079831816038,96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,BUY,14768.667187392257,77.60000000000036
2021-05-07,Friday,14810.35,14949.4,SELL,14773.855179259557,-139.04999999999927
2021-05-10,Monday,14949.4,14845.1,BUY,14974.767467351661,-104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,BUY,14865.00906229521,-145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,SELL,14681.378638317132,18.649999999999636
2021-05-14,Friday,14681.0,14925.15,BUY,14710.52441950187,244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14920.485063612907,-185.0
2021-05-18,Tuesday,15110.15,15019.2,SELL,15108.928495596036,90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,BUY,15024.218636464208,-98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,SELL,14892.086669576063,-262.4500000000007
2021-05-21,Friday,15183.1,15184.35,BUY,15224.401024325922,1.25
2021-05-24,Monday,15184.35,15219.75,BUY,15220.122142708668,35.399999999999636
2021-05-25,Tuesday,15219.75,15301.25,SELL,15176.569517630514,-81.5
2021-05-26,Wednesday,15301.25,15370.15,BUY,15317.795716130433,68.89999999999964
2021-05-27,Thursday,15370.15,15454.2,BUY,15393.488250389046,84.05000000000109
2021-05-28,Friday,15454.2,15576.0,BUY,15454.21699357601,121.79999999999927
2021-05-31,Monday,15576.0,15572.0,BUY,15600.410151335944,-4.0
2021-06-01,Tuesday,15572.0,15590.65,SELL,15569.226934105727,-18.649999999999636
2021-06-02,Wednesday,15590.65,15686.6,BUY,15594.26253651147,95.95000000000073
2021-06-03,Thursday,15686.6,15669.25,BUY,15707.223077178176,-17.350000000000364
2021-06-04,Friday,15669.25,15746.25,BUY,15675.28620711899,77.0
2021-06-07,Monday,15746.25,15740.8,BUY,15751.277836497205,-5.450000000000728
2021-06-08,Tuesday,15740.8,15640.25,BUY,15746.968576904761,-100.54999999999927
2021-06-09,Wednesday,15640.25,15745.45,BUY,15646.482947362429,105.20000000000073
2021-06-10,Thursday,15745.45,15805.0,BUY,15747.564519850712,59.54999999999927
2021-06-11,Friday,15805.0,15809.45,BUY,15828.986032842005,4.450000000000728
2021-06-14,Monday,15809.45,15858.05,SELL,15802.820581500335,-48.599999999998545
2021-06-15,Tuesday,15858.05,15756.0,SELL,15850.664886508735,102.04999999999927
2021-06-16,Wednesday,15756.0,15680.3,BUY,15775.165656999136,-75.70000000000073
2021-06-17,Thursday,15680.3,15719.85,SELL,15668.897112120925,-39.55000000000109
2021-06-18,Friday,15719.85,15748.6,BUY,15730.43643040286,28.75
2021-06-21,Monday,15748.6,15765.85,BUY,15754.026127665731,17.25
2021-06-22,Tuesday,15765.85,15696.1,SELL,15745.483511210625,69.75
2021-06-23,Wednesday,15696.1,15794.15,BUY,15704.857554693855,98.04999999999927
2021-06-24,Thursday,15794.15,15849.35,SELL,15786.879040641277,-55.20000000000073
2021-06-25,Friday,15849.35,15824.05,BUY,15863.323893445893,-25.30000000000109
2021-06-28,Monday,15824.05,15749.55,BUY,15829.737808980133,-74.5
2021-06-29,Tuesday,15749.55,15730.65,SELL,15727.731599645707,18.899999999999636
2021-06-30,Wednesday,15730.65,15694.35,BUY,15747.468384210299,-36.29999999999927
2021-07-01,Thursday,15694.35,15729.5,BUY,15696.133841845116,35.149999999999636
2021-07-02,Friday,15729.5,15841.75,SELL,15725.7450964538,-112.25
2021-07-05,Monday,15841.75,15816.9,BUY,15845.291348620975,-24.850000000000364
2021-07-06,Tuesday,15816.9,15880.8,SELL,15806.949949664966,-63.899999999999636
2021-07-07,Wednesday,15880.8,15727.75,SELL,15875.993150671336,153.04999999999927
2021-07-08,Thursday,15727.75,15699.65,BUY,15747.503862400756,-28.100000000000364
2021-07-09,Friday,15699.65,15690.6,SELL,15688.244802206873,9.049999999999272
2021-07-12,Monday,15690.6,15807.9,BUY,15694.115552082261,117.29999999999927
2021-07-13,Tuesday,15807.9,15844.85,BUY,15809.304259994447,36.95000000000073
2021-07-14,Wednesday,15844.85,15918.2,SELL,15828.240225234831,-73.35000000000036
2021-07-15,Thursday,15918.2,15921.2,BUY,15925.90444600635,3.0
2021-07-16,Friday,15921.2,15758.25,SELL,15918.483955342343,162.95000000000073
2021-07-19,Monday,15758.25,15624.5,BUY,15771.711905740887,-133.75
2021-07-20,Tuesday,15624.5,15829.55,SELL,15621.32410267738,-205.04999999999927
2021-07-22,Thursday,15829.55,15850.4,SELL,15824.619474914844,-20.850000000000364
2021-07-23,Friday,15850.4,15821.15,BUY,15871.654904350813,-29.25
2021-07-26,Monday,15821.15,15744.65,SELL,15785.037018643954,76.5
2021-07-27,Tuesday,15744.65,15714.65,SELL,15744.021823197181,30.0
2021-07-28,Wednesday,15714.65,15783.3,BUY,15738.266385662682,68.64999999999964
2021-07-29,Thursday,15783.3,15774.55,SELL,15770.53978015467,8.75
2021-07-30,Friday,15774.55,15887.75,BUY,15792.766536129835,113.20000000000073
2021-08-02,Monday,15887.75,16125.75,SELL,15859.325378927932,-238.0
2021-08-03,Tuesday,16125.75,16253.0,BUY,16127.493507981326,127.25
2021-08-04,Wednesday,16253.0,16281.8,BUY,16287.091745863418,28.799999999999272
2021-08-05,Thursday,16281.8,16254.7,SELL,16261.179173594499,27.099999999998545
2021-08-06,Friday,16254.7,16252.95,BUY,16280.76399348565,-1.75
2021-08-09,Monday,16252.95,16268.95,BUY,16264.650234723005,16.0
2021-08-10,Tuesday,16268.95,16276.0,BUY,16270.955798849833,7.049999999999272
2021-08-11,Wednesday,16276.0,16359.9,BUY,16298.384856987155,83.89999999999964
2021-08-12,Thursday,16359.9,16517.0,SELL,16340.662439616575,-157.10000000000036
2021-08-13,Friday,16517.0,16546.7,BUY,16531.356547723666,29.700000000000728
2021-08-16,Monday,16546.7,16611.2,BUY,16562.692550169508,64.5
2021-08-17,Tuesday,16611.2,16552.05,SELL,16596.77654532661,59.150000000001455
2021-08-18,Wednesday,16552.05,16415.7,BUY,16583.816371257002,-136.34999999999854
2021-08-20,Friday,16415.7,16487.9,SELL,16412.825598992553,-72.20000000000073
2021-08-23,Monday,16487.9,16614.35,SELL,16483.106020124404,-126.44999999999709
2021-08-24,Tuesday,16614.35,16633.25,BUY,16645.6576383103,18.900000000001455
2021-08-25,Wednesday,16633.25,16633.5,SELL,16610.28367289977,-0.25
2021-08-26,Thursday,16633.5,16690.15,SELL,16633.37527241108,-56.650000000001455
2021-08-27,Friday,16690.15,16938.5,BUY,16705.595636700335,248.34999999999854
2021-08-30,Monday,16938.5,17130.35,BUY,16942.905243739766,191.84999999999854
2021-08-31,Tuesday,17130.35,17058.5,BUY,17161.956527268914,-71.84999999999854
2021-09-01,Wednesday,17058.5,17233.15,SELL,17050.7704377764,-174.65000000000146
2021-09-02,Thursday,17233.15,17320.55,SELL,17223.492095923528,-87.39999999999782
2021-09-03,Friday,17320.55,17379.65,BUY,17378.663641195453,59.10000000000218
2021-09-06,Monday,17379.65,17356.3,BUY,17383.038193538025,-23.350000000002183
2021-09-07,Tuesday,17356.3,17368.05,BUY,17362.516611804524,11.75
2021-09-08,Wednesday,17368.05,17357.35,BUY,17387.718442591693,-10.700000000000728
2021-09-09,Thursday,17357.35,17351.3,SELL,17349.907950893117,6.049999999999272
2021-09-13,Monday,17351.3,17381.9,BUY,17383.2816920047,30.600000000002183
2021-09-14,Tuesday,17381.9,17517.7,SELL,17373.91181487163,-135.79999999999927
2021-09-15,Wednesday,17517.7,17627.55,BUY,17518.7463429487,109.84999999999854
2021-09-16,Thursday,17627.55,17601.2,BUY,17649.95901722862,-26.349999999998545
2021-09-17,Friday,17601.2,17366.3,SELL,17593.150674141514,234.90000000000146
2021-09-20,Monday,17366.3,17566.8,BUY,17381.745622755738,200.5
2021-09-21,Tuesday,17566.8,17548.35,SELL,17565.11199279276,18.450000000000728
2021-09-22,Wednesday,17548.35,17826.3,BUY,17577.307782910146,277.9500000000007
2021-09-23,Thursday,17826.3,17842.65,SELL,17813.64772638968,-16.350000000002183
2021-09-24,Friday,17842.65,17858.2,SELL,17839.1887333052,-15.549999999999272
2021-09-27,Monday,17858.2,17734.15,BUY,17877.940357149913,-124.04999999999927
2021-09-28,Tuesday,17734.15,17709.45,SELL,17730.525738139786,24.700000000000728
2021-09-29,Wednesday,17709.45,17606.35,BUY,17743.49432632911,-103.10000000000218
2021-09-30,Thursday,17606.35,17528.05,SELL,17603.8503451081,78.29999999999927
2021-10-01,Friday,17528.05,17699.85,SELL,17516.942443403164,-171.79999999999927
2021-10-04,Monday,17699.85,17828.3,SELL,17697.387960355212,-128.45000000000073
2021-10-05,Tuesday,17828.3,17628.8,BUY,17836.585301116273,-199.5
2021-10-06,Wednesday,17628.8,17796.2,SELL,17627.60932867902,-167.40000000000146
2021-10-07,Thursday,17796.2,17907.4,SELL,17772.066562854518,-111.20000000000073
2021-10-08,Friday,17907.4,17954.95,BUY,17947.399595816303,47.54999999999927
2021-10-11,Monday,17954.95,18004.05,SELL,17952.18509443814,-49.099999999998545
2021-10-12,Tuesday,18004.05,18165.75,SELL,17984.182668897036,-161.70000000000073
2021-10-13,Wednesday,18165.75,18339.05,BUY,18195.094041809778,173.29999999999927
2021-10-14,Thursday,18339.05,18476.6,SELL,18334.681151994228,-137.54999999999927
2021-10-18,Monday,18476.6,18422.15,BUY,18499.470632491117,-54.44999999999709
2021-10-19,Tuesday,18422.15,18282.3,BUY,18432.251643222415,-139.85000000000218
2021-10-20,Wednesday,18282.3,18219.6,SELL,18276.28505384304,62.70000000000073
2021-10-21,Thursday,18219.6,18111.7,BUY,18247.906907904682,-107.89999999999782
2021-10-22,Friday,18111.7,18135.85,BUY,18118.78279895746,24.149999999997817
2021-10-25,Monday,18135.85,18308.1,SELL,18126.117046474446,-172.25
2021-10-26,Tuesday,18308.1,18184.85,BUY,18317.502455226208,-123.25
2021-10-27,Wednesday,18184.85,17865.2,SELL,18182.642867688057,319.6499999999978
2021-10-28,Thursday,17865.2,17711.5,SELL,17850.83732804278,153.70000000000073
2021-10-29,Friday,17711.5,17946.2,BUY,17713.844490042356,234.70000000000073
2021-11-01,Monday,17946.2,17889.15,BUY,17960.105137737562,-57.04999999999927
2021-11-02,Tuesday,17889.15,17833.0,BUY,17892.13358947134,-56.150000000001455
2021-11-03,Wednesday,17833.0,18083.35,SELL,17782.513934037932,-250.34999999999854
2021-11-08,Monday,18083.35,18051.6,SELL,18077.817912806804,31.75
2021-11-09,Tuesday,18051.6,18012.35,BUY,18097.162788233636,-39.25
2021-11-10,Wednesday,18012.35,17886.7,SELL,17981.77049355067,125.64999999999782
2021-11-11,Thursday,17886.7,18098.65,BUY,17899.561366017733,211.95000000000073
2021-11-12,Friday,18098.65,18093.6,SELL,18097.597869330642,5.05000000000291
2021-11-15,Monday,18093.6,17962.85,BUY,18093.968828913356,-130.75
2021-11-16,Tuesday,17962.85,17887.2,BUY,17973.983279304706,-75.64999999999782
2021-11-17,Wednesday,17887.2,17746.2,SELL,17853.722027659293,141.0
2021-11-18,Thursday,17746.2,17441.05,BUY,17780.8018033261,-305.15000000000146
2021-11-22,Monday,17441.05,17496.85,SELL,17427.531172776216,-55.79999999999927
2021-11-23,Tuesday,17496.85,17358.6,SELL,17469.294421939776,138.25
2021-11-24,Wednesday,17358.6,17547.0,BUY,17393.738105459317,188.40000000000146
2021-11-25,Thursday,17547.0,17006.55,SELL,17491.670575248994,540.4500000000007
2021-11-26,Friday,17006.55,17040.7,BUY,17025.01145628695,34.150000000001455
2021-11-29,Monday,17040.7,16975.15,SELL,17002.60409019538,65.54999999999927
2021-11-30,Tuesday,16975.15,17186.8,BUY,16976.096386080717,211.64999999999782
2021-12-01,Wednesday,17186.8,17404.35,BUY,17210.363674586217,217.54999999999927
2021-12-02,Thursday,17404.35,17209.55,SELL,17333.337213490944,194.79999999999927
2021-12-03,Friday,17209.55,16913.85,BUY,17243.954367460894,-295.7000000000007
2021-12-06,Monday,16913.85,17179.2,SELL,16874.444794931413,-265.3500000000022
2021-12-07,Tuesday,17179.2,17469.15,BUY,17188.204502665736,289.9500000000007
2021-12-08,Wednesday,17469.15,17505.65,BUY,17519.035861151515,36.5
2021-12-09,Thursday,17505.65,17497.35,SELL,17446.833356019066,8.30000000000291
2021-12-10,Friday,17497.35,17385.5,SELL,17453.942285962632,111.84999999999854
2021-12-13,Monday,17385.5,17319.5,BUY,17400.9317429875,-66.0
2021-12-14,Tuesday,17319.5,17209.55,BUY,17333.15368961622,-109.95000000000073
2021-12-15,Wednesday,17209.55,17287.25,BUY,17236.97694746723,77.70000000000073
2021-12-16,Thursday,17287.25,16995.65,SELL,17280.349900702866,291.59999999999854
2021-12-17,Friday,16995.65,16613.0,SELL,16970.44659241414,382.65000000000146
2021-12-20,Monday,16613.0,16788.9,BUY,16613.18363416858,175.90000000000146
2021-12-21,Tuesday,16788.9,16966.65,SELL,16777.920866581997,-177.75
2021-12-22,Wednesday,16966.65,17051.8,BUY,17027.644522309594,85.14999999999782
2021-12-23,Thursday,17051.8,16998.05,SELL,16983.96624771184,53.75
2021-12-24,Friday,16998.05,17101.95,SELL,16952.72931765801,-103.90000000000146
2021-12-27,Monday,17101.95,17233.35,BUY,17140.723725653614,131.39999999999782
2021-12-28,Tuesday,17233.35,17188.2,SELL,17229.143804395047,45.14999999999782
2021-12-29,Wednesday,17188.2,17230.25,BUY,17227.782449318518,42.04999999999927
2021-12-30,Thursday,17230.25,17364.25,SELL,17193.700416927808,-134.0
2021-12-31,Friday,17364.25,17637.1,SELL,17351.228275049445,-272.84999999999854
2022-01-03,Monday,17637.1,17806.85,BUY,17682.143650987346,169.75
2022-01-04,Tuesday,17806.85,17909.5,SELL,17797.928956417993,-102.65000000000146
2022-01-05,Wednesday,17909.5,17748.35,BUY,17917.858190977753,-161.15000000000146
2022-01-06,Thursday,17748.35,17818.2,BUY,17758.302783301813,69.85000000000218
2022-01-07,Friday,17818.2,18005.45,BUY,17839.746747302197,187.25
2022-01-10,Monday,18005.45,18059.15,BUY,18039.50684236632,53.70000000000073
2022-01-11,Tuesday,18059.15,18194.45,BUY,18062.004198403218,135.29999999999927
2022-01-12,Wednesday,18194.45,18256.6,SELL,18185.534732844015,-62.14999999999782
2022-01-13,Thursday,18256.6,18234.8,SELL,18244.78343788323,21.799999999999272
2022-01-14,Friday,18234.8,18308.85,BUY,18273.14133843139,74.04999999999927
2022-01-17,Monday,18308.85,18114.6,BUY,18331.992637033774,-194.25
2022-01-18,Tuesday,18114.6,17943.1,BUY,18136.55348443242,-171.5
2022-01-19,Wednesday,17943.1,17777.85,BUY,17963.07400778237,-165.25
2022-01-20,Thursday,17777.85,17647.25,SELL,17770.360351226456,130.59999999999854
2022-01-21,Friday,17647.25,17113.55,BUY,17666.281472809507,-533.7000000000007
2022-01-24,Monday,17113.55,17267.4,SELL,17085.32634151111,-153.85000000000218
2022-01-25,Tuesday,17267.4,17152.65,SELL,17249.659710515087,114.75
2022-01-27,Thursday,17152.65,17104.65,SELL,17152.183404210366,48.0
2022-01-28,Friday,17104.65,17339.0,SELL,17074.407491918977,-234.34999999999854
2022-01-31,Monday,17339.0,17604.1,SELL,17304.24528225849,-265.09999999999854
2022-02-01,Tuesday,17604.1,17791.6,BUY,17633.899717095745,187.5
2022-02-02,Wednesday,17791.6,17520.25,SELL,17769.558582795406,271.34999999999854
2022-02-03,Thursday,17520.25,17501.25,SELL,17516.92498960246,19.0
2022-02-04,Friday,17501.25,17213.95,BUY,17525.75438921837,-287.2999999999993
2022-02-07,Monday,17213.95,17239.2,BUY,17224.75373894591,25.25
2022-02-08,Tuesday,17239.2,17471.6,BUY,17272.369607302888,232.39999999999782
2022-02-09,Wednesday,17471.6,17587.45,SELL,17449.38739466421,-115.85000000000218
2022-02-10,Thursday,17587.45,17345.55,BUY,17606.36545911961,-241.90000000000146
2022-02-11,Friday,17345.55,16819.7,SELL,17307.042325624876,525.8499999999985
2022-02-14,Monday,16819.7,17355.0,SELL,16819.427866008085,-535.2999999999993
2022-02-15,Tuesday,17355.0,17293.7,BUY,17370.02542823032,-61.29999999999927
2022-02-16,Wednesday,17293.7,17276.4,BUY,17336.927094358893,-17.299999999999272
2022-02-17,Thursday,17276.4,17268.75,SELL,17207.04428966896,7.650000000001455
2022-02-18,Friday,17268.75,17204.3,SELL,17231.045867418397,64.45000000000073
2022-02-21,Monday,17204.3,17078.45,BUY,17269.783482267907,-125.84999999999854
2022-02-22,Tuesday,17078.45,17054.15,SELL,17049.38588298748,24.299999999999272
2022-02-23,Wednesday,17054.15,16217.75,BUY,17081.92289241329,-836.4000000000015
2022-02-24,Thursday,16217.75,16669.65,SELL,16203.524743382633,-451.90000000000146
2022-02-25,Friday,16669.65,16787.65,SELL,16582.146571317764,-118.0
2022-02-28,Monday,16787.65,16628.75,BUY,16882.395189434883,-158.90000000000146
2022-03-02,Wednesday,16628.75,16508.75,SELL,16559.558823624375,120.0
2022-03-03,Thursday,16508.75,16242.95,SELL,16445.306406442363,265.7999999999993
2022-03-04,Friday,16242.95,15879.3,BUY,16331.260583885205,-363.65000000000146
2022-03-07,Monday,15879.3,16016.7,SELL,15855.239375560694,-137.40000000000146
2022-03-08,Tuesday,16016.7,16370.05,BUY,16055.370350535479,353.34999999999854
2022-03-09,Wednesday,16370.05,16566.3,SELL,16337.70643629877,-196.25
2022-03-10,Thursday,16566.3,16621.85,SELL,16480.42805268176,-55.54999999999927
2022-03-11,Friday,16621.85,16886.4,BUY,16657.716291442408,264.5500000000029
2022-03-14,Monday,16886.4,16646.2,SELL,16847.40289562242,240.20000000000073
2022-03-15,Tuesday,16646.2,16966.35,BUY,16704.537297043058,320.1499999999978
