Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,13965.902469483455,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,14003.091112373235,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14082.48371757954,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,BUY,14234.614600750307,-63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14141.257056034749,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14162.331690958421,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,BUY,14360.15956199411,140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14444.19600551979,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14568.998870085605,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14570.124565538805,38.0
2021-01-14,Thursday,14596.1,14434.5,BUY,14622.308856989861,-161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14459.96646342241,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,14195.825953620664,-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14486.268550819337,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14644.627249410129,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14600.975469289764,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14372.391232307305,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,14246.345203354109,284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,13908.046278268559,142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13817.181962054961,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,13590.051831980763,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14294.666301980611,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14690.80336638691,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14774.94860144377,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14881.025444945573,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14995.024353388928,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15091.260716020093,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15163.321221262546,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15134.752001977307,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15166.346714885585,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15214.90373456394,168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15291.891402219124,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15357.60327910541,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,15192.526566674862,77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,15081.691116454687,115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15036.5717565116,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,SELL,14579.857048443988,-74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,SELL,14686.096850112684,-64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14781.716345401434,324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,15069.640154708732,583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14534.550625471775,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14728.179887672026,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,BUY,14960.651353059313,295.75
2021-03-03,Wednesday,15240.5,15088.3,BUY,15262.868410142293,-152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,SELL,15010.567174507378,125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,15044.501630907296,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,SELL,14933.657172774607,-136.0
2021-03-09,Tuesday,15099.0,15167.4,BUY,15116.537319819716,68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15161.53406611857,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,SELL,14970.515801818116,99.5
2021-03-15,Monday,14923.05,14924.0,BUY,14948.911229518715,0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14925.576539562191,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14710.05820829235,-123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,14550.259884806293,-154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14701.338883946026,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,BUY,14764.535472752534,65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,14783.406262918397,247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14596.494248980865,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,14348.84684166226,170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14478.011745569735,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14880.45434254073,-162.84999999999854
