Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,13956.709999999997,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,13972.624999999996,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14064.38,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14148.209999999997,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14191.169999999998,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14195.88,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,BUY,14355.909999999998,140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14478.86,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14563.560000000001,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14582.375000000004,38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14545.845000000001,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14457.180000000002,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14245.584999999997,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,BUY,14529.954999999998,96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14644.245,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14627.62,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14443.365000000002,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,14238.174999999997,284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14175.255,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13785.829999999998,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13718.75,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14183.025,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14663.695000000002,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14767.499999999996,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14863.695000000002,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14931.005000000001,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15123.759999999998,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15117.075000000003,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15118.365,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15158.98,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15154.280000000002,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,BUY,15335.539999999999,-17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15331.210000000001,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15203.874999999996,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15130.780000000002,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15046.8,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14646.265,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,SELL,14710.435000000001,-64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14853.075000000003,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15128.66,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14555.904999999999,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14746.134999999998,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14930.865,-295.75
2021-03-03,Wednesday,15240.5,15088.3,BUY,15240.5,-152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15115.569999999998,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,SELL,14942.894999999999,-0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15048.64,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15083.64,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15159.204999999998,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15133.99,-99.5
2021-03-15,Monday,14923.05,14924.0,BUY,14932.685000000001,0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14925.869999999999,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14773.12,-123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,14570.560000000001,-154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14708.689999999999,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,BUY,14750.659999999998,65.75
2021-03-23,Tuesday,14809.6,14561.85,BUY,14843.570000000002,-247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14627.62,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,14365.425,170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14515.060000000001,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,SELL,14775.235,162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14698.429999999998,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14759.029999999999,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,14583.39,-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,BUY,14752.524999999998,109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,14788.02,-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14931.579999999998,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14843.835000000001,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,BUY,14424.744999999999,171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14495.225,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14580.440000000002,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14737.519999999999,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14348.724999999997,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,BUY,14302.314999999999,119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14378.235,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14375.525,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,BUY,14512.615000000002,166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14651.685000000001,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14627.835000000001,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14623.835000000003,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14567.730000000001,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14732.23,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,BUY,14825.150000000003,139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14934.274999999998,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,SELL,14838.345000000001,145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,SELL,14698.429999999998,18.649999999999636
2021-05-14,Friday,14681.0,14925.15,BUY,14698.715,244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14912.810000000001,-185.0
2021-05-18,Tuesday,15110.15,15019.2,BUY,15113.669999999998,-90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,BUY,15079.65,-98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,BUY,14955.919999999998,262.4500000000007
2021-05-21,Friday,15183.1,15184.35,SELL,15108.619999999999,-1.25
2021-05-24,Monday,15184.35,15219.75,SELL,15172.855,-35.399999999999636
2021-05-25,Tuesday,15219.75,15301.25,SELL,15203.874999999996,-81.5
2021-05-26,Wednesday,15301.25,15370.15,SELL,15269.34,-68.89999999999964
2021-05-27,Thursday,15370.15,15454.2,SELL,15355.984999999997,-84.05000000000109
2021-05-28,Friday,15454.2,15576.0,BUY,15457.225,121.79999999999927
2021-05-31,Monday,15576.0,15572.0,SELL,15496.789999999999,4.0
2021-06-01,Tuesday,15572.0,15590.65,BUY,15625.195000000002,18.649999999999636
2021-06-02,Wednesday,15590.65,15686.6,BUY,15614.36,95.95000000000073
2021-06-03,Thursday,15686.6,15669.25,SELL,15679.355000000001,17.350000000000364
2021-06-04,Friday,15669.25,15746.25,BUY,15675.329999999998,77.0
2021-06-07,Monday,15746.25,15740.8,SELL,15729.59,5.450000000000728
2021-06-08,Tuesday,15740.8,15640.25,SELL,15686.985,100.54999999999927
2021-06-09,Wednesday,15640.25,15745.45,BUY,15666.98,105.20000000000073
2021-06-10,Thursday,15745.45,15805.0,SELL,15712.480000000001,-59.54999999999927
2021-06-11,Friday,15805.0,15809.45,SELL,15786.005,-4.450000000000728
2021-06-14,Monday,15809.45,15858.05,SELL,15745.465000000002,-48.599999999998545
2021-06-15,Tuesday,15858.05,15756.0,SELL,15857.284999999998,102.04999999999927
2021-06-16,Wednesday,15756.0,15680.3,BUY,15762.060000000001,-75.70000000000073
2021-06-17,Thursday,15680.3,15719.85,BUY,15702.295000000002,39.55000000000109
2021-06-18,Friday,15719.85,15748.6,SELL,15714.530000000002,-28.75
2021-06-21,Monday,15748.6,15765.85,SELL,15699.12,-17.25
2021-06-22,Tuesday,15765.85,15696.1,BUY,15841.844999999998,-69.75
2021-06-23,Wednesday,15696.1,15794.15,BUY,15759.585000000001,98.04999999999927
2021-06-24,Thursday,15794.15,15849.35,SELL,15783.884999999998,-55.20000000000073
2021-06-25,Friday,15849.35,15824.05,SELL,15847.655000000002,25.30000000000109
2021-06-28,Monday,15824.05,15749.55,BUY,15837.309999999998,-74.5
2021-06-29,Tuesday,15749.55,15730.65,BUY,15759.469999999998,-18.899999999999636
2021-06-30,Wednesday,15730.65,15694.35,BUY,15750.244999999999,-36.29999999999927
2021-07-01,Thursday,15694.35,15729.5,SELL,15691.840000000002,-35.149999999999636
2021-07-02,Friday,15729.5,15841.75,SELL,15681.409999999998,-112.25
2021-07-05,Monday,15841.75,15816.9,SELL,15839.745,24.850000000000364
2021-07-06,Tuesday,15816.9,15880.8,BUY,15827.704999999998,63.899999999999636
2021-07-07,Wednesday,15880.8,15727.75,SELL,15859.310000000001,153.04999999999927
2021-07-08,Thursday,15727.75,15699.65,BUY,15742.55,-28.100000000000364
2021-07-09,Friday,15699.65,15690.6,SELL,15687.49,9.049999999999272
2021-07-12,Monday,15690.6,15807.9,BUY,15715.34,117.29999999999927
2021-07-13,Tuesday,15807.9,15844.85,SELL,15797.355,-36.95000000000073
2021-07-14,Wednesday,15844.85,15918.2,BUY,15844.990000000002,73.35000000000036
2021-07-15,Thursday,15918.2,15921.2,SELL,15884.959999999997,-3.0
2021-07-16,Friday,15921.2,15758.25,BUY,15949.215,-162.95000000000073
2021-07-19,Monday,15758.25,15624.5,BUY,15763.499999999996,-133.75
2021-07-20,Tuesday,15624.5,15829.55,BUY,15651.460000000001,205.04999999999927
2021-07-22,Thursday,15829.55,15850.4,SELL,15760.89,-20.850000000000364
2021-07-23,Friday,15850.4,15821.15,SELL,15846.079999999998,29.25
2021-07-26,Monday,15821.15,15744.65,BUY,15850.549999999997,-76.5
2021-07-27,Tuesday,15744.65,15714.65,BUY,15747.060000000001,-30.0
2021-07-28,Wednesday,15714.65,15783.3,SELL,15703.285,-68.64999999999964
2021-07-29,Thursday,15783.3,15774.55,BUY,15787.13,-8.75
2021-07-30,Friday,15774.55,15887.75,BUY,15777.869999999999,113.20000000000073
2021-08-02,Monday,15887.75,16125.75,SELL,15884.085000000001,-238.0
2021-08-03,Tuesday,16125.75,16253.0,SELL,16096.495,-127.25
2021-08-04,Wednesday,16253.0,16281.8,BUY,16264.165000000003,28.799999999999272
2021-08-05,Thursday,16281.8,16254.7,SELL,16275.394999999999,27.099999999998545
2021-08-06,Friday,16254.7,16252.95,BUY,16260.259999999998,-1.75
2021-08-09,Monday,16252.95,16268.95,SELL,16247.87,-16.0
2021-08-10,Tuesday,16268.95,16276.0,BUY,16275.125,7.049999999999272
2021-08-11,Wednesday,16276.0,16359.9,SELL,16240.530000000002,-83.89999999999964
2021-08-12,Thursday,16359.9,16517.0,SELL,16353.119999999999,-157.10000000000036
2021-08-13,Friday,16517.0,16546.7,SELL,16451.4,-29.700000000000728
2021-08-16,Monday,16546.7,16611.2,BUY,16552.939999999995,64.5
2021-08-17,Tuesday,16611.2,16552.05,SELL,16596.769999999997,59.150000000001455
2021-08-18,Wednesday,16552.05,16415.7,BUY,16581.28,-136.34999999999854
2021-08-20,Friday,16415.7,16487.9,BUY,16421.010000000002,72.20000000000073
2021-08-23,Monday,16487.9,16614.35,BUY,16503.015,126.44999999999709
2021-08-24,Tuesday,16614.35,16633.25,SELL,16599.255,-18.900000000001455
2021-08-25,Wednesday,16633.25,16633.5,BUY,16647.29,0.25
2021-08-26,Thursday,16633.5,16690.15,BUY,16706.515000000003,56.650000000001455
2021-08-27,Friday,16690.15,16938.5,SELL,16577.934999999998,-248.34999999999854
2021-08-30,Monday,16938.5,17130.35,SELL,16931.920000000002,-191.84999999999854
2021-08-31,Tuesday,17130.35,17058.5,SELL,17111.67,71.84999999999854
2021-09-01,Wednesday,17058.5,17233.15,BUY,17171.055,174.65000000000146
2021-09-02,Thursday,17233.15,17320.55,SELL,17209.264999999996,-87.39999999999782
2021-09-03,Friday,17320.55,17379.65,SELL,17311.719999999998,-59.10000000000218
2021-09-06,Monday,17379.65,17356.3,BUY,17386.51,-23.350000000002183
2021-09-07,Tuesday,17356.3,17368.05,BUY,17364.48,11.75
2021-09-08,Wednesday,17368.05,17357.35,BUY,17370.534999999996,-10.700000000000728
2021-09-09,Thursday,17357.35,17351.3,SELL,17341.555,6.049999999999272
2021-09-13,Monday,17351.3,17381.9,SELL,17314.135,-30.600000000002183
2021-09-14,Tuesday,17381.9,17517.7,BUY,17387.16,135.79999999999927
2021-09-15,Wednesday,17517.7,17627.55,SELL,17509.085,-109.84999999999854
2021-09-16,Thursday,17627.55,17601.2,SELL,17625.745,26.349999999998545
2021-09-17,Friday,17601.2,17366.3,BUY,17708.965000000004,-234.90000000000146
2021-09-20,Monday,17366.3,17566.8,BUY,17591.940000000002,200.5
2021-09-21,Tuesday,17566.8,17548.35,SELL,17544.795000000002,18.450000000000728
2021-09-22,Wednesday,17548.35,17826.3,SELL,17530.08,-277.9500000000007
2021-09-23,Thursday,17826.3,17842.65,SELL,17821.79,-16.350000000002183
2021-09-24,Friday,17842.65,17858.2,BUY,17907.855,15.549999999999272
2021-09-27,Monday,17858.2,17734.15,BUY,17877.890000000003,-124.04999999999927
2021-09-28,Tuesday,17734.15,17709.45,SELL,17698.054999999997,24.700000000000728
2021-09-29,Wednesday,17709.45,17606.35,BUY,17728.315000000002,-103.10000000000218
2021-09-30,Thursday,17606.35,17528.05,BUY,17628.975000000002,-78.29999999999927
2021-10-01,Friday,17528.05,17699.85,SELL,17515.0,-171.79999999999927
2021-10-04,Monday,17699.85,17828.3,SELL,17659.31,-128.45000000000073
2021-10-05,Tuesday,17828.3,17628.8,SELL,17822.79,199.5
2021-10-06,Wednesday,17628.8,17796.2,BUY,17669.144999999997,167.40000000000146
2021-10-07,Thursday,17796.2,17907.4,BUY,17826.275,111.20000000000073
2021-10-08,Friday,17907.4,17954.95,SELL,17901.375,-47.54999999999927
2021-10-11,Monday,17954.95,18004.05,BUY,17971.050000000003,49.099999999998545
2021-10-12,Tuesday,18004.05,18165.75,SELL,17987.4,-161.70000000000073
2021-10-13,Wednesday,18165.75,18339.05,SELL,18119.82,-173.29999999999927
2021-10-14,Thursday,18339.05,18476.6,SELL,18279.565,-137.54999999999927
2021-10-18,Monday,18476.6,18422.15,BUY,18505.885000000002,-54.44999999999709
2021-10-19,Tuesday,18422.15,18282.3,BUY,18503.085,-139.85000000000218
2021-10-20,Wednesday,18282.3,18219.6,BUY,18395.87,-62.70000000000073
2021-10-21,Thursday,18219.6,18111.7,SELL,18170.27,107.89999999999782
2021-10-22,Friday,18111.7,18135.85,BUY,18113.27,24.149999999997817
2021-10-25,Monday,18135.85,18308.1,SELL,18115.29,-172.25
2021-10-26,Tuesday,18308.1,18184.85,SELL,18134.705,123.25
2021-10-27,Wednesday,18184.85,17865.2,SELL,18181.760000000002,319.6499999999978
