Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13990.90095663151,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14043.112170033895,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14028.76408928502,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14186.463829445061,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14086.502262916742,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14153.990355180464,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14334.03835587069,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14445.839966789408,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14547.896909535804,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14492.662634973627,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14553.216232196322,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14431.516082304073,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14276.860691935583,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14518.511114359419,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14638.306530737878,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14585.295880051151,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14439.24727526112,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14289.028330033929,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14010.735700576348,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13799.832619012537,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13688.596122772602,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14226.780706371472,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14709.942285227098,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14738.904697077214,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14866.454644505951,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14931.578021122543,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15139.342113330773,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15170.944741278921,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15053.169392618101,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15175.71944961339,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15157.74921556299,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15335.248431401878,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15323.866032092224,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15226.90029392169,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15125.474445772123,-115.75
2021-02-19,Friday,15004.2,14642.25,SELL,15000.889426329772,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14742.282807650987,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14751.510287209023,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14819.01987510647,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15162.873710904527,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14584.71139488364,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14749.802864720587,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14897.619617604585,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15211.602513701124,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15145.214394719422,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14985.728146258745,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15042.882819307635,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15021.544046837354,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15138.680257089,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15047.776915556784,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14819.365369367091,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14962.707742834758,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14756.894786304227,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14596.297079533113,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14674.034813562768,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14654.981100795025,-65.75
2021-03-23,Tuesday,14809.6,14561.85,BUY,14824.523801480591,-247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14605.351231378254,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,SELL,14335.21509396833,-170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14498.915060277799,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14855.310338909932,-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14704.970459980408,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14798.567060100995,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,14548.282094899956,-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14651.339437498007,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,BUY,14814.67648532192,68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14935.74460652647,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14842.434333349058,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,SELL,14340.131492230983,-171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14449.696461481444,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14458.284524773304,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14662.299231092831,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14284.337991277573,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,SELL,14279.904266218588,-119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14358.630927835344,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14406.54751472216,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,BUY,14525.557136143143,166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14641.92086791446,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14608.424461796596,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14530.33052570938,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14559.283498886249,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14697.721202941411,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,BUY,14819.513412327642,139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14935.534785012871,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,BUY,14876.575978027022,-145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,SELL,14690.64618065031,18.649999999999636
2021-05-14,Friday,14681.0,14925.15,SELL,14629.195309396655,-244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14902.568590422181,-185.0
2021-05-18,Tuesday,15110.15,15019.2,BUY,15112.207441017725,-90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,BUY,15087.878051605001,-98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,BUY,14943.476213938367,262.4500000000007
2021-05-21,Friday,15183.1,15184.35,SELL,15170.429339305949,-1.25
2021-05-24,Monday,15184.35,15219.75,BUY,15198.17976874548,35.399999999999636
2021-05-25,Tuesday,15219.75,15301.25,SELL,15195.41017387343,-81.5
2021-05-26,Wednesday,15301.25,15370.15,SELL,15270.307984983328,-68.89999999999964
2021-05-27,Thursday,15370.15,15454.2,SELL,15336.177281420078,-84.05000000000109
2021-05-28,Friday,15454.2,15576.0,SELL,15447.479281403317,-121.79999999999927
2021-05-31,Monday,15576.0,15572.0,SELL,15549.49334808043,4.0
2021-06-01,Tuesday,15572.0,15590.65,BUY,15583.475494507125,18.649999999999636
2021-06-02,Wednesday,15590.65,15686.6,SELL,15538.284759780165,-95.95000000000073
2021-06-03,Thursday,15686.6,15669.25,SELL,15663.101626540581,17.350000000000364
2021-06-04,Friday,15669.25,15746.25,SELL,15665.656018812877,-77.0
2021-06-07,Monday,15746.25,15740.8,SELL,15736.183770091504,5.450000000000728
2021-06-08,Tuesday,15740.8,15640.25,SELL,15705.80973527047,100.54999999999927
2021-06-09,Wednesday,15640.25,15745.45,BUY,15644.712893209722,105.20000000000073
2021-06-10,Thursday,15745.45,15805.0,SELL,15726.3779855191,-59.54999999999927
2021-06-11,Friday,15805.0,15809.45,SELL,15798.05477185768,-4.450000000000728
2021-06-14,Monday,15809.45,15858.05,SELL,15681.060882625197,-48.599999999998545
2021-06-15,Tuesday,15858.05,15756.0,BUY,15883.255346926457,-102.04999999999927
2021-06-16,Wednesday,15756.0,15680.3,BUY,15800.51253449683,-75.70000000000073
2021-06-17,Thursday,15680.3,15719.85,BUY,15733.904411609441,39.55000000000109
2021-06-18,Friday,15719.85,15748.6,SELL,15523.545006259901,-28.75
2021-06-21,Monday,15748.6,15765.85,SELL,15735.530301484387,-17.25
2021-06-22,Tuesday,15765.85,15696.1,BUY,15835.708040382831,-69.75
2021-06-23,Wednesday,15696.1,15794.15,BUY,15719.857096600848,98.04999999999927
2021-06-24,Thursday,15794.15,15849.35,SELL,15788.944152357428,-55.20000000000073
2021-06-25,Friday,15849.35,15824.05,SELL,15817.33339138876,25.30000000000109
2021-06-28,Monday,15824.05,15749.55,SELL,15823.651465449248,74.5
2021-06-29,Tuesday,15749.55,15730.65,BUY,15764.970807110898,-18.899999999999636
2021-06-30,Wednesday,15730.65,15694.35,BUY,15786.852071014084,-36.29999999999927
2021-07-01,Thursday,15694.35,15729.5,SELL,15690.542228075872,-35.149999999999636
2021-07-02,Friday,15729.5,15841.75,SELL,15682.208151957399,-112.25
2021-07-05,Monday,15841.75,15816.9,SELL,15820.661754730745,24.850000000000364
2021-07-06,Tuesday,15816.9,15880.8,BUY,15897.293036505147,63.899999999999636
2021-07-07,Wednesday,15880.8,15727.75,SELL,15860.196903918968,153.04999999999927
2021-07-08,Thursday,15727.75,15699.65,BUY,15745.055221437824,-28.100000000000364
2021-07-09,Friday,15699.65,15690.6,SELL,15684.689865564938,9.049999999999272
2021-07-12,Monday,15690.6,15807.9,BUY,15694.912998282383,117.29999999999927
2021-07-13,Tuesday,15807.9,15844.85,SELL,15783.309109883,-36.95000000000073
2021-07-14,Wednesday,15844.85,15918.2,SELL,15841.065323857709,-73.35000000000036
2021-07-15,Thursday,15918.2,15921.2,BUY,15934.66693993051,3.0
2021-07-16,Friday,15921.2,15758.25,SELL,15914.244741149016,162.95000000000073
