Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,[11158.27171315],-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,[11154.146],-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,[11161.0746],-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,[11168.7574],63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,[11177.5904],-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,SELL,[11185.8804],-195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,[11194.388],-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,[11202.904],-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,[11211.819],15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,[11220.7964],-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,[11229.5886],161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,[11238.6116],206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,[11246.9334],-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,[11254.4626],-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,[11263.647],-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,[11273.4608],264.0
2021-01-22,Friday,14367.0,14247.95,SELL,[11283.5522],119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,[11292.3006],284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,[11300.2786],142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,[11307.6862],158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,[11314.7308],-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,[11320.8512],-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,[11330.0738],-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,[11340.8852],-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,[11353.4486],-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,[11366.1078],-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,[11377.9354],17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,[11390.0752],-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,[11401.9846],-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,[11414.191],14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,[11426.7688],-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,[11438.994],17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,[11451.5218],120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,[11464.1262],77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,[11476.4674],115.75
