Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13975.93608504424,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,14009.814018350065,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14064.98579421208,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14125.548953473513,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14164.840879283467,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14200.205213491252,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14289.123667416923,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14439.749413364249,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14508.383982247484,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14567.747196588292,38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14546.314893322378,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14516.438698109745,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14369.136725781733,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14441.4386350731,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14585.303436099965,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14660.199788544593,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14516.393039747127,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14387.3243620344,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14110.76790142469,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13815.32378997063,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13831.443972396786,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14008.389539468411,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14591.643966734931,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14737.185740853218,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14811.498576114136,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14945.356831512698,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15091.939408963997,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15166.708509766715,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15085.395758601346,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15116.600912708771,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15168.331047024782,168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15279.682829727972,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15347.869580400138,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15249.043477829575,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15179.450515538658,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15039.936237730311,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14869.253637397918,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14763.191410339983,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,SELL,14770.700888201318,-324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15110.837632650215,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14755.21120089911,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14722.392347793599,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14860.453658831375,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15134.41525756893,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15090.532662038899,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14987.800495842892,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15017.534213920522,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15036.556702532363,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15164.612115766718,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15196.14362263458,-99.5
2021-03-15,Monday,14923.05,14924.0,BUY,14932.774321764467,0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14978.033835628605,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14858.036832814283,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14726.070102823796,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14580.564957701425,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14692.484213648848,-65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,14791.794578689567,247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14663.71987292661,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,14460.977676464383,170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14497.346545263474,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,SELL,14737.936515397098,162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14753.66814805987,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14793.695831409888,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,BUY,14709.06721617132,49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14692.200338371353,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,14766.038242058632,-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14900.31274071903,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14856.235613792283,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,BUY,14507.494002690737,171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14406.3906583789,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14493.595824408805,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14623.347225416066,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14296.031066874319,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,BUY,14409.605798360935,119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14289.532349562318,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14366.477742592913,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,SELL,14483.695275371807,-166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14568.752771786778,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14546.298130301348,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14622.799824024809,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14577.186930826982,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14675.166793508291,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,BUY,14811.256202344353,139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14923.966681375563,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,SELL,14827.906769238894,145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,BUY,14754.000667591321,-18.649999999999636
2021-05-14,Friday,14681.0,14925.15,BUY,14685.069464871402,244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14826.166346912647,-185.0
2021-05-18,Tuesday,15110.15,15019.2,SELL,15083.107305220394,90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,BUY,15068.275004452551,-98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,BUY,14992.672881720193,262.4500000000007
2021-05-21,Friday,15183.1,15184.35,SELL,15078.704069537922,-1.25
2021-05-24,Monday,15184.35,15219.75,BUY,15200.871756689488,35.399999999999636
2021-05-25,Tuesday,15219.75,15301.25,BUY,15237.743811531624,81.5
2021-05-26,Wednesday,15301.25,15370.15,SELL,15255.403001970812,-68.89999999999964
2021-05-27,Thursday,15370.15,15454.2,SELL,15326.257206643342,-84.05000000000109
2021-05-28,Friday,15454.2,15576.0,SELL,15424.096304033124,-121.79999999999927
2021-05-31,Monday,15576.0,15572.0,SELL,15489.100525971335,4.0
2021-06-01,Tuesday,15572.0,15590.65,BUY,15598.604227894612,18.649999999999636
2021-06-02,Wednesday,15590.65,15686.6,SELL,15528.600499298209,-95.95000000000073
2021-06-03,Thursday,15686.6,15669.25,SELL,15654.249001014692,17.350000000000364
2021-06-04,Friday,15669.25,15746.25,BUY,15679.994859741639,77.0
2021-06-07,Monday,15746.25,15740.8,SELL,15720.850366350958,5.450000000000728
2021-06-08,Tuesday,15740.8,15640.25,SELL,15732.612982882032,100.54999999999927
2021-06-09,Wednesday,15640.25,15745.45,BUY,15705.072481305458,105.20000000000073
