Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,13966.33058634158,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14264.645794094067,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,13818.976858381611,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,BUY,14400.482378464327,-63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14313.242003752295,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14292.221877990693,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,BUY,14510.572924001346,140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14232.218680023538,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14464.53956694829,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14709.18924416038,38.0
2021-01-14,Thursday,14596.1,14434.5,BUY,14617.495274003344,-161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14239.214647439981,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14228.887317716264,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,BUY,14560.530483435105,96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14461.676204459969,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14883.16592126749,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14441.357431161772,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14431.134382842092,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14153.377119968418,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13702.10149243131,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,13507.198862653742,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,BUY,14963.026630067814,339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14999.645739589774,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14768.424930546851,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14764.89352968758,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,15099.468251643404,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,14914.56864257215,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15159.526916413759,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,BUY,15550.578989114025,43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,14979.763591526194,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15065.184470659218,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15217.268797782479,17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,15241.38699628037,120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,15026.410186054132,77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,15077.696114644199,115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15232.98277847377,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,SELL,14415.447616232706,-74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,SELL,14664.878751833554,-64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14952.471181325707,324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,15104.162657125207,583.0500000000011
2021-02-26,Friday,14522.4,14785.8,SELL,14451.889922605225,-263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14211.880919763393,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,BUY,15089.086749546805,295.75
2021-03-03,Wednesday,15240.5,15088.3,BUY,15313.357923116424,-152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,SELL,15014.742697656084,125.44999999999891
2021-03-05,Friday,14962.85,14963.0,SELL,14665.019876495193,-0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15107.182588184534,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15076.438253040431,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15082.740291560625,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15204.956043041206,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14769.476349432689,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,SELL,14855.969077987602,217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14806.107423048341,-123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,14570.471025740531,-154.4499999999989
