Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13985.867565161114,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14038.102374309448,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14023.048101070406,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14179.426729674344,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14081.148696020324,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14148.958177838098,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14327.233407910448,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14439.765146998545,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14540.62483918131,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14486.353321866529,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14546.540132199432,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14424.927336308047,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14270.951396411992,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14510.289984286583,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14630.79155871705,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14578.57956906163,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14432.502429337972,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14282.725273596854,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14004.70061175916,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13794.357559063017,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13682.784184107977,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14211.041548570203,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14699.93944741995,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14730.08892570874,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14857.863987072496,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14924.458547903601,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15131.372184008298,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15162.59265873137,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15045.568952059652,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15167.464105855472,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15150.01308536634,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15327.085171985575,17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,15315.674873467784,120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15219.440642661993,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,15118.280999571958,115.75
2021-02-19,Friday,15004.2,14642.25,SELL,14992.788488738726,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14734.262974076453,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14744.023296802616,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14811.689894788413,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15154.892709254342,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14576.625352098099,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14742.201539210955,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14889.231514901488,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15201.078488344408,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15135.826327495566,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14977.329854820417,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15034.485737383959,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15013.627519442658,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15131.762694565583,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15039.405524699661,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14811.973383243834,-0.9500000000007276
