Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,13963.605380845456,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14071.171342972124,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14071.171342972124,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14182.6784770937,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14132.465405869461,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14182.6784770937,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14311.152939592675,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,BUY,14495.042003033539,88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14513.91549462957,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14575.247399142881,38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14562.527840167897,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14497.371583390077,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14311.152939592675,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14507.990469618277,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14648.440693132114,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14642.101532295286,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14497.371583390077,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14311.152939592675,-284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,13963.605380845456,142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13768.300926374888,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13768.300926374888,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,13818.242104536352,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14648.440693132114,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14665.423714677614,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14850.30209872023,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14931.42813717892,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15141.758695380357,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15141.758695380357,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15116.103264440137,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15141.758695380357,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15181.864957978276,168.54999999999927
