Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13991.80036594691,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14045.832273056954,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14023.645983820757,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14187.097193685522,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14078.768621794545,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14150.055376087197,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14334.298199154171,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14444.836201603688,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14547.209374521775,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14484.142688765622,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14551.150209657915,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14421.265835796563,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14267.145225658884,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14518.698567999758,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14638.48537020808,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14576.0866487422,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14429.319586501315,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14277.864681711691,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,13999.210506196589,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13796.40235303519,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13672.876289920181,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14220.073427887744,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14709.979610724262,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14731.744679406256,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14864.888844857845,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14927.79848227138,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15139.47678427729,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15166.475541818902,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15046.983091334423,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15176.29424316608,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15153.446859859741,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,BUY,15336.232359043,-17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,15317.797237796196,120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15222.476894129666,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,15118.605310519284,115.75
2021-02-19,Friday,15004.2,14642.25,SELL,14992.724833401415,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14725.834644222872,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14746.459177586745,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14819.801321544108,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15163.459051499536,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14563.81124235861,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14747.881831708077,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14895.09066805714,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15208.33469309335,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15142.54499220076,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14980.02070583998,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15039.75051722991,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15015.992286317703,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15134.974126205394,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15029.550558664921,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14805.871756540304,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14958.464197880488,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14745.321394168644,-123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,14579.233153003179,-154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14667.398760941285,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14649.820613685863,-65.75
2021-03-23,Tuesday,14809.6,14561.85,BUY,14822.680605089996,-247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14597.573544590363,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,SELL,14321.344262989871,-170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14496.259502368459,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14855.221970256838,-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14699.844953775113,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14794.69499604726,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,14529.834298291416,-49.099999999998545
