Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,0.0,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,0.0,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,0.0,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,0.0,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,13992.871287128715,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,SELL,14008.415841584163,-195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14202.376237623765,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14341.83168316832,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14429.653465346539,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14413.960396039607,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14451.584158415846,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14291.584158522104,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,14087.524752475252,-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,0.0,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,0.0,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14486.13861386139,264.0
2021-01-22,Friday,14367.0,14247.95,SELL,14224.752475354288,119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,14106.881188118816,284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,0.0,142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,0.0,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,13527.673267326736,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14189.207920792083,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14524.851485148518,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14638.267326732677,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14741.43564356436,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14791.43564356436,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,14977.970297029708,17.149999999999636
