Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,[13571.48462432],-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,[13571.48462432],-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,[13607.42997985],-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,[13665.28954727],63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,[13712.55535779],-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,SELL,[13751.53429377],-195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,[13796.0700493],-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,[13831.18302088],-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,[13888.48668119],15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,[13931.54284596],-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,[13997.54586114],161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,[14046.62061742],206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,[14089.49847645],-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,[14112.71162778],-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,[14157.78626754],-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,[14195.53621982],264.0
2021-01-22,Friday,14367.0,14247.95,SELL,[14252.01182768],119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,[14276.62186948],-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,[14283.06684654],-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,BUY,[14286.99192776],-158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,[14281.52486931],668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,[14267.19950402],-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,[14301.87672395],-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,[14337.85227097],-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,[14380.64185295],-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,[14417.22785073],-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,[14466.85747655],17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,[14536.91592139],-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,[14564.81871759],-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,[14616.94657802],14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,[14668.21950298],-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,[14709.48512564],17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,[14739.20305295],120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,[14818.43996371],77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,[14843.50888174],115.75
2021-02-19,Friday,15004.2,14642.25,SELL,[14884.36279443],361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,[14877.43636224],74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,[14917.17512528],64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,[14920.89570281],324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,[14943.18935174],583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,[14941.83026275],263.39999999999964
2021-03-01,Monday,14785.8,14944.75,BUY,[14967.70940109],158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,BUY,[14972.9405861],295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,[14997.30775126],152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,SELL,[14992.50624662],125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,[15036.73484021],0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,[15059.57059453],136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,[15061.94921225],-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,[15047.85678819],144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,[15100.67667794],-99.5
2021-03-15,Monday,14923.05,14924.0,BUY,[15107.94508217],0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,[15106.98806123],-217.89999999999964
