Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13997.864221568845,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14050.157881095312,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14035.732937801282,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14192.810121743278,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14094.007675025738,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14161.707408537575,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14341.003501008188,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14453.666148240143,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14555.284241107765,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14500.875489729018,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14561.058396426166,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14439.456441907734,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14284.714143594036,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14525.17732294946,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14645.779197444997,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14593.579741104299,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14447.098706836416,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14296.751064200102,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14017.781422699063,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13806.155103463021,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13694.998639012047,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14228.263002703645,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14716.109677374181,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14746.263726814255,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14874.059419817655,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14940.405264831126,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15148.086355238505,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15179.787788388181,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15062.199907952936,-43.25
2021-02-11,Thursday,15181.25,15166.95,BUY,15184.377588406973,-14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15166.922693569708,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,BUY,15344.43578979114,-17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15333.363585906758,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15236.464390947282,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15135.01470245424,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15009.551304654375,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14750.620642278982,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14759.619274577999,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14827.134635070648,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15171.660744635958,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14592.749880494974,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14757.675136076206,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14905.495220204006,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15219.170232312927,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15153.246475920594,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14994.033431045056,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15051.233248348786,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15030.249196403813,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15148.268864147018,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15056.934371609546,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14828.176900080085,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14971.547547139235,-217.89999999999964
