Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13996.51945349207,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14047.001536743703,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14039.931233626708,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14190.109720214281,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14101.182232478512,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14165.318584891045,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14338.922364312275,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14453.515309205537,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14553.83671974526,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14508.167937175998,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14561.512413585893,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14448.250848794753,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14293.490216008693,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14522.034822606147,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14643.27590473228,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14601.257516860727,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14455.436902909682,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14306.669057441753,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14028.20673042681,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13808.773640841628,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13709.769402529908,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14225.704077378017,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14711.679384485042,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14750.143380588379,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14872.491198209947,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14942.340413263937,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15145.398087672309,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15181.459023989639,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15066.209629276333,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15181.013802201716,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15168.938668945279,168.54999999999927
2021-02-15,Monday,15335.5,15318.0,BUY,15340.782996749022,-17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15336.839835375758,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15238.856814131053,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15140.08161987371,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15015.131384710832,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14764.59488916116,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14762.48057226902,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14824.230633469168,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15168.51307575764,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14611.137539844067,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14757.263846708438,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14905.084118014469,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15217.808172750669,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15152.212390486202,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14996.865666373009,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15051.471097061816,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15033.339590976148,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15150.362531194833,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15072.510365988966,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14839.704911905783,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14973.816249215912,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14775.598277385861,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14618.818418359462,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14680.137592463852,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14667.201769657308,-65.75
2021-03-23,Tuesday,14809.6,14561.85,BUY,14831.785998226384,-247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14619.810189103178,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,14355.628815919456,170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14507.681890598216,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14857.378987325555,-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14717.83640494999,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14808.193691882152,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,14572.996474830661,-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14664.37526278212,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,BUY,14821.53394629799,68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14942.917131038861,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14852.758147900307,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,BUY,14365.093872834084,171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14456.518135988747,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14471.038150522263,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14668.255395605942,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14294.124556743425,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,BUY,14300.62289340313,119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14363.54805616162,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14412.570632056382,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,BUY,14530.956079853084,166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14645.833081176297,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14614.194052731387,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14547.894182097625,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14569.286185977007,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14704.925884006945,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,BUY,14827.580888714312,139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14943.265653527797,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,BUY,14882.104040413726,-145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,BUY,14705.054247227088,-18.649999999999636
2021-05-14,Friday,14681.0,14925.15,SELL,14642.654573438249,-244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14907.230120547898,-185.0
2021-05-18,Tuesday,15110.15,15019.2,BUY,15119.248657765012,-90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,BUY,15096.044583750783,-98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,BUY,14957.495875467132,262.4500000000007
2021-05-21,Friday,15183.1,15184.35,SELL,15174.370709881383,-1.25
2021-05-24,Monday,15184.35,15219.75,BUY,15208.104125522344,35.399999999999636
2021-05-25,Tuesday,15219.75,15301.25,SELL,15208.663744445377,-81.5
2021-05-26,Wednesday,15301.25,15370.15,SELL,15279.238405316984,-68.89999999999964
2021-05-27,Thursday,15370.15,15454.2,SELL,15345.448584853772,-84.05000000000109
2021-05-28,Friday,15454.2,15576.0,BUY,15455.42026662545,121.79999999999927
2021-05-31,Monday,15576.0,15572.0,SELL,15557.077283907376,4.0
2021-06-01,Tuesday,15572.0,15590.65,BUY,15595.506791614378,18.649999999999636
2021-06-02,Wednesday,15590.65,15686.6,SELL,15548.381857318927,-95.95000000000073
2021-06-03,Thursday,15686.6,15669.25,SELL,15672.906688818242,17.350000000000364
2021-06-04,Friday,15669.25,15746.25,BUY,15677.499372477054,77.0
2021-06-07,Monday,15746.25,15740.8,SELL,15745.666738918457,5.450000000000728
2021-06-08,Tuesday,15740.8,15640.25,SELL,15718.520399190891,100.54999999999927
2021-06-09,Wednesday,15640.25,15745.45,BUY,15661.817345379122,105.20000000000073
2021-06-10,Thursday,15745.45,15805.0,SELL,15734.48735844607,-59.54999999999927
2021-06-11,Friday,15805.0,15809.45,BUY,15807.926240723125,4.450000000000728
2021-06-14,Monday,15809.45,15858.05,SELL,15697.359317825787,-48.599999999998545
2021-06-15,Tuesday,15858.05,15756.0,BUY,15892.147982783443,-102.04999999999927
2021-06-16,Wednesday,15756.0,15680.3,BUY,15813.154149212289,-75.70000000000073
2021-06-17,Thursday,15680.3,15719.85,BUY,15741.809330809261,39.55000000000109
2021-06-18,Friday,15719.85,15748.6,SELL,15546.277275922885,-28.75
2021-06-21,Monday,15748.6,15765.85,SELL,15740.271799113989,-17.25
2021-06-22,Tuesday,15765.85,15696.1,BUY,15846.374064408068,-69.75
2021-06-23,Wednesday,15696.1,15794.15,BUY,15737.016820523473,98.04999999999927
2021-06-24,Thursday,15794.15,15849.35,BUY,15797.513447920946,55.20000000000073
2021-06-25,Friday,15849.35,15824.05,SELL,15828.443656429934,25.30000000000109
2021-06-28,Monday,15824.05,15749.55,BUY,15837.805678567085,-74.5
2021-06-29,Tuesday,15749.55,15730.65,BUY,15777.293402179468,-18.899999999999636
2021-06-30,Wednesday,15730.65,15694.35,BUY,15797.002679674999,-36.29999999999927
2021-07-01,Thursday,15694.35,15729.5,BUY,15702.71785393492,35.149999999999636
2021-07-02,Friday,15729.5,15841.75,SELL,15693.18776273307,-112.25
2021-07-05,Monday,15841.75,15816.9,SELL,15829.472808266692,24.850000000000364
2021-07-06,Tuesday,15816.9,15880.8,BUY,15904.7581483559,63.899999999999636
2021-07-07,Wednesday,15880.8,15727.75,SELL,15869.121621734948,153.04999999999927
2021-07-08,Thursday,15727.75,15699.65,BUY,15761.703027292515,-28.100000000000364
2021-07-09,Friday,15699.65,15690.6,SELL,15694.836460669012,9.049999999999272
2021-07-12,Monday,15690.6,15807.9,BUY,15708.496345603304,117.29999999999927
2021-07-13,Tuesday,15807.9,15844.85,SELL,15793.38244945315,-36.95000000000073
2021-07-14,Wednesday,15844.85,15918.2,BUY,15850.243497267156,73.35000000000036
2021-07-15,Thursday,15918.2,15921.2,BUY,15942.672996258323,3.0
2021-07-16,Friday,15921.2,15758.25,BUY,15925.506698801948,-162.95000000000073
2021-07-19,Monday,15758.25,15624.5,BUY,15808.013905456171,-133.75
2021-07-20,Tuesday,15624.5,15829.55,BUY,15638.003062361804,205.04999999999927
2021-07-22,Thursday,15829.55,15850.4,SELL,15825.74513497177,-20.850000000000364
2021-07-23,Friday,15850.4,15821.15,SELL,15844.268372258148,29.25
2021-07-26,Monday,15821.15,15744.65,BUY,15864.11763827802,-76.5
2021-07-27,Tuesday,15744.65,15714.65,BUY,15775.442761248662,-30.0
2021-07-28,Wednesday,15714.65,15783.3,SELL,15593.651669440798,-68.64999999999964
2021-07-29,Thursday,15783.3,15774.55,BUY,15801.906365340094,-8.75
2021-07-30,Friday,15774.55,15887.75,BUY,15829.5597628422,113.20000000000073
2021-08-02,Monday,15887.75,16125.75,SELL,15873.234497578267,-238.0
2021-08-03,Tuesday,16125.75,16253.0,SELL,16118.891432872402,-127.25
2021-08-04,Wednesday,16253.0,16281.8,BUY,16282.491788260484,28.799999999999272
2021-08-05,Thursday,16281.8,16254.7,BUY,16298.784218646091,-27.099999999998545
2021-08-06,Friday,16254.7,16252.95,BUY,16287.297035408243,-1.75
2021-08-09,Monday,16252.95,16268.95,BUY,16261.193764822812,16.0
2021-08-10,Tuesday,16268.95,16276.0,BUY,16309.409791711616,7.049999999999272
2021-08-11,Wednesday,16276.0,16359.9,SELL,16231.157068508997,-83.89999999999964
2021-08-12,Thursday,16359.9,16517.0,BUY,16362.124648705332,157.10000000000036
2021-08-13,Friday,16517.0,16546.7,BUY,16536.204877788507,29.700000000000728
2021-08-16,Monday,16546.7,16611.2,BUY,16570.3801028463,64.5
2021-08-17,Tuesday,16611.2,16552.05,SELL,16599.63384793547,59.150000000001455
2021-08-18,Wednesday,16552.05,16415.7,BUY,16620.503859421646,-136.34999999999854
2021-08-20,Friday,16415.7,16487.9,BUY,16497.018354712192,72.20000000000073
2021-08-23,Monday,16487.9,16614.35,SELL,16463.51428916578,-126.44999999999709
