Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13980.220421438928,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14018.029000238617,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14058.032469672993,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14137.149079578901,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14149.944407626555,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14192.494496988273,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14298.209675163447,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14442.213987560062,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14516.393163994113,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14553.473085329091,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14548.472417424318,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14499.602385439333,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14351.233071080549,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14455.769544026525,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14596.016966829671,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14645.70278653932,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14500.960766809721,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14367.707315173435,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14090.31299122987,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13812.231339540269,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13801.574746001364,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14040.735263075347,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14612.607812895989,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14736.012291045552,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14821.873953051238,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14943.845853906818,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15102.416642448929,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15167.96399271683,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15079.848840679699,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15129.201300605846,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15167.337535623266,168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15292.160395349854,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15344.034439157856,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15246.26436402443,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15170.220642716953,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15032.177133063715,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14842.876111149139,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14761.079739396564,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14781.247499220735,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15122.316840071106,-583.0500000000011
