Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13974.070496604882,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,14011.984085074093,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14051.097228364064,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14130.219225081075,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14142.769301830429,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14185.66169366777,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14291.095355065183,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14435.000917737747,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14508.779507298876,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14545.42874832835,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14540.864857204888,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14491.412331752892,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14343.472271828618,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14448.050604711148,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14588.300880714178,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14637.366496451228,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14492.75279637625,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14359.697961038442,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14082.72096144891,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13805.831782393723,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13794.08828310707,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14030.95885852478,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14604.179140075257,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14727.14991604031,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14813.416710967509,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14935.443657539605,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15093.89020614527,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15158.86683007224,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15070.93444660013,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15120.597056635224,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15158.422930252973,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15283.395203329757,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15334.612447777172,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15237.308836942893,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15161.23935730793,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15023.027999459668,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14833.323920606092,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14752.71922811913,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,SELL,14773.381675472187,-324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15113.797573157679,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14709.61694067047,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14720.013322983314,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14859.017076532376,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15138.244901622204,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15091.494906305417,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14978.181517824802,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15013.850068430651,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15025.123026055764,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15152.877046612362,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15155.624065127078,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14900.999257121106,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14967.538492298356,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14829.514751130186,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14689.326039508293,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14584.52443997412,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14678.14364158442,-65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,14790.232828186743,247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14644.381397819321,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,14427.27435607473,170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14490.692926078764,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,SELL,14750.188629489314,162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14737.677288224006,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14786.525157287653,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,BUY,14666.730147498281,49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14676.349168238261,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,14766.142338037778,-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14899.299215015293,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14846.826987649514,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,BUY,14463.904615051242,171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14405.447964529003,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14478.157190766131,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14623.915477338252,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14286.457557510586,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,BUY,14375.049366676389,119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14293.098451226095,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14366.488131685555,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,SELL,14485.05013508762,-166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14574.750308419169,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14548.578067078046,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14596.17571417093,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14567.429704863485,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14672.763066395719,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,SELL,14806.803259769358,-139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14920.500194747232,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,SELL,14830.230282964214,145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,BUY,14734.58873548135,-18.649999999999636
