Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13977.11053542303,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,14008.95689899944,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14072.02811196588,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14122.55604984091,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14176.269915844061,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14207.956475042642,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14287.691785384293,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14442.14892803571,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14507.651438476296,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14579.065744302681,38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14548.852190510894,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14528.987369076242,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14382.246550076787,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14437.073324246636,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14583.171124842493,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14671.64186370429,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14528.164016325674,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14401.265833979827,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14124.91073540458,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13820.110981653996,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13850.300666512965,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,13992.274633586912,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14583.524491315036,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14741.187690508194,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14809.540373027308,-50.5
2021-02-05,Friday,14939.35,15127.75,BUY,14950.164241126648,188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15090.3813893922,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15170.009421197094,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15092.373851858132,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15113.88244642936,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,BUY,15172.965370844098,168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15277.229960438233,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15354.09379634091,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15254.773759472931,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15188.571190889295,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15047.914209795836,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14886.88872647776,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14768.029350063474,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,SELL,14768.90379352413,-324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15108.768995616785,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14777.691099974356,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14723.030251623037,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14860.32213797316,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15130.764673104308,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15088.83708338766,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14991.900269032501,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15018.621464194772,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15041.823693044256,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,BUY,15170.54669595076,-144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15216.119927153994,-99.5
2021-03-15,Monday,14923.05,14924.0,BUY,14948.604726158454,0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14983.075212934966,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14872.364830439363,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14744.066247036772,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14576.000166023017,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14699.714569683756,-65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,14791.934601280742,247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14673.366988451764,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,14477.971180554514,170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14500.482321775433,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,SELL,14729.94053753339,162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14761.929085996959,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14796.787904758048,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,BUY,14730.18146418356,49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,BUY,14700.002034748299,109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,14764.889344683617,-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14900.165689655516,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14860.913629129123,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,BUY,14529.285964026216,171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14405.798663926018,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14500.990786581498,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14622.600740656306,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14300.635966358124,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,BUY,14427.032034276275,119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14286.383485701148,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14365.81412337868,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,SELL,14482.588120829376,-166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14564.757298727642,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14543.85859960262,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14636.168782897264,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14582.175414382922,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14676.07300200085,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,BUY,14813.463724468213,139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14925.74114113881,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,SELL,14826.183236354604,145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,BUY,14763.936151454525,-18.649999999999636
2021-05-14,Friday,14681.0,14925.15,BUY,14694.120955680393,244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14822.107780247363,-185.0
2021-05-18,Tuesday,15110.15,15019.2,SELL,15083.263406538617,90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,BUY,15069.57528668334,-98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,BUY,15001.311720502345,262.4500000000007
2021-05-21,Friday,15183.1,15184.35,SELL,15073.123476594878,-1.25
