Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13993.731476897789,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14046.897940749717,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14031.614518637252,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,BUY,14205.924293870521,-63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14082.461434478355,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14149.836023802352,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,BUY,14349.000794167114,140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14451.038782233787,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14563.702194327903,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14491.913197393013,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14561.791007632804,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14432.491286630226,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14273.769113773895,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,BUY,14544.757383102966,96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14656.19224965055,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14586.60841977079,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14441.961442584587,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14288.122651571823,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14010.404342050148,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13804.970534557891,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13685.942129964424,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14322.463154310775,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14750.841018790794,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14760.6540026613,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,BUY,14890.08011435945,50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14937.900475973678,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15155.223035926414,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15185.452347035003,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15060.16003500898,-43.25
2021-02-11,Thursday,15181.25,15166.95,BUY,15194.345755691123,-14.299999999999272
