Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,12053.424379785052,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,12057.335401039849,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,12063.982770663955,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,12069.143345376839,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,12076.2137029074,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,SELL,12080.216738517434,-195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,12088.021403070967,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,12105.052365562056,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,12111.03212024947,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,12118.514579592193,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,12115.539625111156,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,12113.236543631732,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,12098.468411146217,-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,12103.107489055927,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,12118.489250933515,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,12127.224525280619,264.0
2021-01-22,Friday,14367.0,14247.95,SELL,12113.069753060301,119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,12100.143094595242,284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,12069.58720208142,142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,12033.514254233194,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,12036.333677789748,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,12045.879837672617,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,12116.849669985479,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,12132.572833255348,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,12139.169880026178,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,12152.120146657508,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,12163.040367819738,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,12168.78004897808,-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,12163.22342354904,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,12164.710800304132,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,12169.290211154077,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,12176.595864028284,17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,12181.611091765435,120.10000000000036
