Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13990.912469096878,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14043.147664283115,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14028.710827941577,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14186.553951982147,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14086.386283974525,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14153.91419552684,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14334.10118379181,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14445.839981213872,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14547.9524211628,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14492.55204784411,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14553.220953551077,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14431.395864505641,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14276.726960558053,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14518.628120289995,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14638.381130117828,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14585.18756485498,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14439.13912027956,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14288.889835628668,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14010.597909562779,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13799.810285423913,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13688.403731010989,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14227.170705621314,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14710.129339982133,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14738.919049798727,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14866.5376224751,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14931.550784062905,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15139.403153097004,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15170.949303704034,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15053.118868959653,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15175.798640862464,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15157.727701552001,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15335.318588913298,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15323.827002977423,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15226.858776588882,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15125.388555701953,-115.75
2021-02-19,Friday,15004.2,14642.25,SELL,15000.835375254803,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14742.112043698464,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14751.493142964668,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14819.082556959616,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15162.940764633442,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14584.484473374736,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14749.840742014607,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14897.67549033405,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15211.72768077386,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15145.298975571302,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14985.728230948836,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15042.919527567487,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15021.520934134383,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15138.630106139904,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15047.573809344985,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14819.205696792174,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14962.679414898947,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14756.749188232316,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14596.12510533364,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14674.205686852389,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14654.920692083582,-65.75
2021-03-23,Tuesday,14809.6,14561.85,BUY,14824.569925048558,-247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14605.265596293366,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,SELL,14335.039575004594,-170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14498.913360892337,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14855.495110865599,-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14704.890221223643,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14798.573400185433,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,14548.062541981033,-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14651.278706078609,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,BUY,14814.753807189427,68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14935.793466671912,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14842.405241996003,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,SELL,14339.904207570833,-171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14449.769671567845,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14458.237499633082,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14662.351248291927,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14284.320739035926,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,SELL,14279.723966669853,-119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14358.745801235864,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14406.607920530678,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,BUY,14525.613647024626,166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14642.03009204947,10.649999999999636
