Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13990.912467279908,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,BUY,14043.147658680944,129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14028.71083634824,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14186.553937757322,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14086.386302280443,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14153.914207547861,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14334.10117387518,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14445.83998121171,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14547.952412400953,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14492.552065298987,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14553.220952805928,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14431.395883480533,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14276.72698166595,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14518.62810182189,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14638.381118343215,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14585.187581951226,264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14439.139137350465,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14288.88985748829,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14010.59793131133,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13799.810288948984,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13688.403761377505,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14227.17064406339,-339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,14710.129310457492,114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14738.919047533118,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14866.537609377936,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14931.550788362041,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,15139.403143462696,-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15170.949302983912,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15053.118876934253,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15175.798628363142,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15157.727704947805,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15335.318577839906,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15323.82700913775,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15226.858783142026,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15125.388569258781,-115.75
2021-02-19,Friday,15004.2,14642.25,SELL,15000.835383786065,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14742.112070651307,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14751.493145670665,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14819.08254706612,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15162.94075404991,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14584.484509191278,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14749.840736036133,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14897.675481515147,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15211.72766101749,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15145.298962221112,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,14985.728230935401,0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15042.919521773501,136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15021.52093778245,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15138.630114055812,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,BUY,15047.57384140269,-99.5
2021-03-15,Monday,14923.05,14924.0,SELL,14819.205721994507,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,BUY,14962.67941937025,-217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,14756.749211213211,-123.5
2021-03-18,Thursday,14582.6,14737.05,BUY,14596.12513247746,154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14674.205659881492,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,14654.920701618454,-65.75
2021-03-23,Tuesday,14809.6,14561.85,BUY,14824.569917768498,-247.75
2021-03-24,Wednesday,14561.85,14348.25,BUY,14605.265609809845,-213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,SELL,14335.03960270806,-170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14498.913361160605,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,14855.495081701283,-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,BUY,14704.89023388851,173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,14798.573399184716,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,14548.062576634635,-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,14651.278715664348,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,BUY,14814.753794984957,68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,14935.793458959934,-39.600000000000364
2021-04-09,Friday,14838.05,14354.7,BUY,14842.405246587845,-483.34999999999854
2021-04-12,Monday,14354.7,14525.7,SELL,14339.904243444771,-171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14449.769660012316,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14458.237507055359,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,BUY,14662.351240081676,-230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14284.320741758973,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,SELL,14279.723995127863,-119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14358.745783104207,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,BUY,14406.607910996277,157.34999999999854
2021-04-26,Monday,14489.05,14655.8,BUY,14525.613638105095,166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14642.030074809663,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14608.526136236027,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,BUY,14530.198898264338,128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14559.248829392689,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,14697.747521403813,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,BUY,14819.513508947171,139.04999999999927
