Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,[-4.12829767e+17],-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,[-1.73452825e+17],-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,BUY,[1.70312838e+17],51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,[-7.30754329e+16],63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,[4.78253884e+17],15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,[2.06065587e+17],195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,[-2.72513384e+17],-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,BUY,[4.89383824e+17],88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,BUY,[3.39475533e+17],-15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,[1.93287048e+17],38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,[-3.73452344e+17],161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,[3.63543274e+17],-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,[-1.66927166e+17],-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,BUY,[5.50818428e+16],96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,[-2.0797183e+17],-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,[-2.46813983e+16],264.0
2021-01-22,Friday,14367.0,14247.95,SELL,[-4.54810882e+17],119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,[-3.48760332e+17],284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,[3.34264525e+17],-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,[-7.80544637e+15],158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,[1.52760731e+17],668.1499999999996
2021-02-01,Monday,14331.1,14670.1,BUY,[4.27371823e+17],339.0
2021-02-02,Tuesday,14670.1,14784.65,BUY,[6.09181405e+16],114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,BUY,[3.73640759e+16],104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,BUY,[1.44526608e+17],50.5
2021-02-05,Friday,14939.35,15127.75,BUY,[6.60714745e+16],188.39999999999964
2021-02-08,Monday,15127.75,15110.6,BUY,[3.22511814e+17],-17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,[-4.1169889e+17],-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,BUY,[1.00926856e+17],43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,[-3.09629963e+17],14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,[-1.43410466e+16],-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,[-9.34906419e+16],17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,[9.10115761e+15],-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,[-1.39663855e+17],77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,[-3.86769959e+17],115.75
2021-02-19,Friday,15004.2,14642.25,BUY,[3.48824642e+16],-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,SELL,[-2.29360598e+17],-74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,[9.76270027e+16],64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,SELL,[-5.73247429e+17],-324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,[7.00587758e+16],-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,SELL,[-3.03575633e+17],-263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,[-5.56357929e+16],-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,[-3.11841309e+17],-295.75
2021-03-03,Wednesday,15240.5,15088.3,BUY,[1.08854259e+17],-152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,SELL,[-1.09875781e+17],125.44999999999891
2021-03-05,Friday,14962.85,14963.0,BUY,[3.17401575e+17],0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,SELL,[-1.83385454e+17],-136.0
2021-03-09,Tuesday,15099.0,15167.4,BUY,[4.09339771e+17],68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,BUY,[2.04851557e+17],-144.85000000000036
2021-03-12,Friday,15022.55,14923.05,SELL,[-4.90936838e+17],99.5
2021-03-15,Monday,14923.05,14924.0,SELL,[-2.31455568e+17],-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,SELL,[-5.18481726e+17],217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,BUY,[2.45716059e+17],-123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,[-1.37136742e+17],-154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,[-2.54337256e+17],-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,[-3.24520279e+17],-65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,[-3.32471552e+17],247.75
2021-03-24,Wednesday,14561.85,14348.25,SELL,[-2.5579352e+17],213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,BUY,[4.5717768e+17],170.0
2021-03-26,Friday,14518.25,14853.55,SELL,[-2.26543611e+17],-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,BUY,[1.23946739e+17],-162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,SELL,[-2.36061159e+17],-173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,[-1.3299892e+17],213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,[-2.23859427e+17],-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,[-1.89229223e+17],-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,[-2.17006324e+17],-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,BUY,[2.10558001e+17],-39.600000000000364
