Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,13644.851251292715,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,13689.353557078608,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,13709.919474230355,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,13841.900601783742,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,13781.297586611796,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,SELL,13833.177703092897,-195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,13996.157580816394,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14119.65544471538,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14223.10272442221,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14204.054170311287,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14236.32123696918,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14147.770331478885,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,13985.333223651138,-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14186.335599626971,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,14313.85097846165,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14304.308833593477,264.0
2021-01-22,Friday,14367.0,14247.95,SELL,14154.101085779464,119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,14004.147472473534,284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,13720.636241321543,142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13471.98415026427,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,13416.12917888325,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,13900.441408103656,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14385.855581576678,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14454.162174739035,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14563.727213616457,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14647.309792821037,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,14852.269209018534,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,14909.262993206012,-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,14790.28696742011,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,14889.384353703445,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,14894.996450118811,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15063.27065032555,17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,15086.25680995858,120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,14972.043416668868,77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,14873.281149628081,115.75
2021-02-19,Friday,15004.2,14642.25,SELL,14742.383369715859,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,SELL,14504.142176127269,-74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,SELL,14459.581998228652,-64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,SELL,14503.552466486439,-324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,14875.748700324537,583.0500000000011
2021-02-26,Friday,14522.4,14785.8,SELL,14357.589684731185,-263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14442.329901840512,-158.95000000000073
