Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,SELL,12689.337542831026,-47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,12689.337542831026,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,12689.337542831026,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,12689.337542831026,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,SELL,14132.699740085674,-15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,SELL,14148.400252019688,-195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14344.300045278616,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,SELL,14485.149940391682,-88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14573.850439548034,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,SELL,14558.000398866665,-38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14595.999947728273,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,SELL,14434.39963053352,206.10000000000036
2021-01-18,Monday,14228.4,14526.85,SELL,14228.299901620485,-298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,12689.337542831026,-96.25
2021-01-20,Wednesday,14623.1,14631.0,SELL,12689.337542845946,-7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,SELL,14630.899893954334,264.0
2021-01-22,Friday,14367.0,14247.95,SELL,14366.900049833279,119.04999999999927
2021-01-25,Monday,14247.95,13963.7,SELL,14247.850010332942,284.25
2021-01-27,Wednesday,13963.7,13821.4,SELL,12689.337542831026,142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,12689.337542831026,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,SELL,13662.849949058183,-668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14331.000013191762,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14669.999973895461,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14784.550066911896,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14888.750085064226,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14939.250046018904,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15127.649575374764,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,SELL,15110.499580420756,-27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15137.900156206622,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15181.15001371888,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15166.850071907797,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15335.400045278617,17.5
2021-02-16,Tuesday,15318.0,15197.9,SELL,15317.900099793014,120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,SELL,15197.80009198396,77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,SELL,15119.850151045342,115.75
2021-02-19,Friday,15004.2,14642.25,SELL,15004.09978221462,361.9500000000007
2021-02-22,Monday,14642.25,14716.8,SELL,14642.150066794638,-74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,SELL,14716.699997471602,-64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,SELL,12689.337542831026,-324.25
2021-02-25,Thursday,15105.45,14522.4,SELL,15105.349853658328,583.0500000000011
2021-02-26,Friday,14522.4,14785.8,SELL,14522.299486780681,-263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,12689.337542831026,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14944.649960151595,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15240.400133816385,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,SELL,15088.200003035243,125.44999999999891
2021-03-05,Friday,14962.85,14963.0,SELL,12689.337542848478,-0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,SELL,12689.33754283103,-136.0
2021-03-09,Tuesday,15099.0,15167.4,SELL,15098.900241255833,-68.39999999999964
2021-03-10,Wednesday,15167.4,15022.55,SELL,15167.299460455914,144.85000000000036
2021-03-12,Friday,15022.55,14923.05,SELL,15022.449901620486,99.5
2021-03-15,Monday,14923.05,14924.0,SELL,12689.337542831026,-0.9500000000007276
2021-03-16,Tuesday,14924.0,14706.1,SELL,14923.899904255191,217.89999999999964
2021-03-17,Wednesday,14706.1,14582.6,SELL,14705.999904213228,123.5
2021-03-18,Thursday,14582.6,14737.05,SELL,14582.500120442292,-154.4499999999989
2021-03-19,Friday,14737.05,14743.85,SELL,14736.949883830603,-6.800000000001091
2021-03-22,Monday,14743.85,14809.6,SELL,12750.255307444715,-65.75
2021-03-23,Tuesday,14809.6,14561.85,SELL,12689.34228440078,247.75
2021-03-24,Wednesday,14561.85,14348.25,SELL,12718.591014716667,213.60000000000036
2021-03-25,Thursday,14348.25,14518.25,SELL,14348.150152033937,-170.0
2021-03-26,Friday,14518.25,14853.55,SELL,14518.149736561027,-335.2999999999993
2021-03-30,Tuesday,14853.55,14690.7,SELL,12689.337542831026,162.84999999999854
2021-03-31,Wednesday,14690.7,14864.1,SELL,12692.278825822472,-173.39999999999964
2021-04-01,Thursday,14864.1,14650.45,SELL,12689.337543038542,213.64999999999964
2021-04-05,Monday,14650.45,14699.55,SELL,12689.354268327834,-49.099999999998545
2021-04-06,Tuesday,14699.55,14808.85,SELL,12689.341265739135,-109.30000000000109
2021-04-07,Wednesday,14808.85,14877.65,SELL,14808.750120392744,-68.79999999999927
2021-04-08,Thursday,14877.65,14838.05,SELL,12689.337542831026,39.600000000000364
2021-04-09,Friday,14838.05,14354.7,SELL,14837.950141910806,483.34999999999854
2021-04-12,Monday,14354.7,14525.7,SELL,14354.600253010338,-171.0
2021-04-13,Tuesday,14525.7,14587.35,SELL,14525.59990425672,-61.649999999999636
2021-04-15,Thursday,14587.35,14591.25,SELL,14587.249730465002,-3.899999999999636
2021-04-16,Friday,14591.25,14361.15,SELL,12689.337542831026,230.10000000000036
2021-04-19,Monday,14361.15,14280.05,SELL,14361.05007138092,81.10000000000036
2021-04-20,Tuesday,14280.05,14399.1,SELL,14279.950393022953,-119.05000000000109
2021-04-22,Thursday,14399.1,14331.7,SELL,14398.999684715649,67.39999999999964
2021-04-23,Friday,14331.7,14489.05,SELL,14331.60016629663,-157.34999999999854
2021-04-26,Monday,14489.05,14655.8,SELL,14488.949783845448,-166.75
2021-04-27,Tuesday,14655.8,14645.15,SELL,14655.700135628658,10.649999999999636
2021-05-03,Monday,14645.15,14507.1,SELL,14645.05006008883,138.04999999999927
2021-05-04,Tuesday,14507.1,14635.95,SELL,12689.337542831026,-128.85000000000036
2021-05-05,Wednesday,14635.95,14732.75,SELL,14635.849906791293,-96.79999999999927
2021-05-06,Thursday,14732.75,14810.35,SELL,12689.337542831026,-77.60000000000036
2021-05-07,Friday,14810.35,14949.4,SELL,14810.250228838111,-139.04999999999927
2021-05-10,Monday,14949.4,14845.1,SELL,14949.299610902997,104.29999999999927
2021-05-11,Tuesday,14845.1,14699.65,SELL,14845.000111652362,145.45000000000073
2021-05-12,Wednesday,14699.65,14681.0,SELL,14699.55036612233,18.649999999999636
2021-05-14,Friday,14681.0,14925.15,SELL,14680.900138515548,-244.14999999999964
2021-05-17,Monday,14925.15,15110.15,SELL,14925.049687056353,-185.0
2021-05-18,Tuesday,15110.15,15019.2,SELL,15110.04963161199,90.94999999999891
2021-05-19,Wednesday,15019.2,14920.65,SELL,15019.100150633876,98.55000000000109
2021-05-20,Thursday,14920.65,15183.1,SELL,14920.550064901214,-262.4500000000007
2021-05-21,Friday,15183.1,15184.35,SELL,15183.00011165236,-1.25
2021-05-24,Monday,15184.35,15219.75,SELL,12689.337542831026,-35.399999999999636
2021-05-25,Tuesday,15219.75,15301.25,SELL,12699.714092004948,-81.5
2021-05-26,Wednesday,15301.25,15370.15,SELL,15301.14995521905,-68.89999999999964
2021-05-27,Thursday,15370.15,15454.2,SELL,15370.050128407463,-84.05000000000109
2021-05-28,Friday,15454.2,15576.0,SELL,15454.100100224194,-121.79999999999927
2021-05-31,Monday,15576.0,15572.0,SELL,15575.900059871732,4.0
2021-06-01,Tuesday,15572.0,15590.65,SELL,15571.900055999035,-18.649999999999636
2021-06-02,Wednesday,15590.65,15686.6,SELL,15590.550148409046,-95.95000000000073
2021-06-03,Thursday,15686.6,15669.25,SELL,15686.500148699579,17.350000000000364
2021-06-04,Friday,15669.25,15746.25,SELL,15669.150302164866,-77.0
2021-06-07,Monday,15746.25,15740.8,SELL,15746.150058984274,5.450000000000728
2021-06-08,Tuesday,15740.8,15640.25,SELL,12689.82520120856,100.54999999999927
2021-06-09,Wednesday,15640.25,15745.45,SELL,15640.149917973904,-105.20000000000073
2021-06-10,Thursday,15745.45,15805.0,SELL,12689.974499547026,-59.54999999999927
2021-06-11,Friday,15805.0,15809.45,SELL,15804.89999928857,-4.450000000000728
2021-06-14,Monday,15809.45,15858.05,SELL,12689.337542853355,-48.599999999998545
2021-06-15,Tuesday,15858.05,15756.0,SELL,15857.94964190996,102.04999999999927
2021-06-16,Wednesday,15756.0,15680.3,SELL,15755.900041093857,75.70000000000073
2021-06-17,Thursday,15680.3,15719.85,SELL,12724.694963533935,-39.55000000000109
2021-06-18,Friday,15719.85,15748.6,SELL,15719.750002906969,-28.75
2021-06-21,Monday,15748.6,15765.85,SELL,12689.337542831026,-17.25
2021-06-22,Tuesday,15765.85,15696.1,SELL,12695.152967642305,69.75
2021-06-23,Wednesday,15696.1,15794.15,SELL,12694.812879328187,-98.04999999999927
2021-06-24,Thursday,15794.15,15849.35,SELL,15794.049911240798,-55.20000000000073
2021-06-25,Friday,15849.35,15824.05,SELL,15849.250027594706,25.30000000000109
2021-06-28,Monday,15824.05,15749.55,SELL,12692.67531351899,74.5
2021-06-29,Tuesday,15749.55,15730.65,SELL,15749.449817667364,18.899999999999636
2021-06-30,Wednesday,15730.65,15694.35,SELL,15730.549974925367,36.29999999999927
2021-07-01,Thursday,15694.35,15729.5,SELL,15694.250129568638,-35.149999999999636
2021-07-02,Friday,15729.5,15841.75,SELL,13141.111248298583,-112.25
2021-07-05,Monday,15841.75,15816.9,SELL,15841.650352585457,24.850000000000364
2021-07-06,Tuesday,15816.9,15880.8,SELL,15816.79994724015,-63.899999999999636
2021-07-07,Wednesday,15880.8,15727.75,SELL,15880.699992265385,153.04999999999927
2021-07-08,Thursday,15727.75,15699.65,SELL,15727.650143354984,28.100000000000364
2021-07-09,Friday,15699.65,15690.6,SELL,15699.550424850615,9.049999999999272
2021-07-12,Monday,15690.6,15807.9,SELL,12689.337931349552,-117.29999999999927
2021-07-13,Tuesday,15807.9,15844.85,SELL,15807.800019162985,-36.95000000000073
2021-07-14,Wednesday,15844.85,15918.2,SELL,15844.750010090796,-73.35000000000036
2021-07-15,Thursday,15918.2,15921.2,SELL,12689.33754283266,-3.0
2021-07-16,Friday,15921.2,15758.25,SELL,15921.100300120484,162.95000000000073
2021-07-19,Monday,15758.25,15624.5,SELL,15758.150072119886,133.75
2021-07-20,Tuesday,15624.5,15829.55,SELL,15624.400053966612,-205.04999999999927
2021-07-22,Thursday,15829.55,15850.4,SELL,12727.32395411441,-20.850000000000364
2021-07-23,Friday,15850.4,15821.15,SELL,15850.300052436709,29.25
2021-07-26,Monday,15821.15,15744.65,SELL,15821.04997716521,76.5
2021-07-27,Tuesday,15744.65,15714.65,SELL,15744.55006412435,30.0
2021-07-28,Wednesday,15714.65,15783.3,SELL,12689.337542831026,-68.64999999999964
2021-07-29,Thursday,15783.3,15774.55,SELL,12691.993534320402,8.75
2021-07-30,Friday,15774.55,15887.75,SELL,15774.45009419677,-113.20000000000073
2021-08-02,Monday,15887.75,16125.75,SELL,15887.649899155034,-238.0
2021-08-03,Tuesday,16125.75,16253.0,SELL,16125.650272749033,-127.25
2021-08-04,Wednesday,16253.0,16281.8,SELL,16252.900142757211,-28.799999999999272
2021-08-05,Thursday,16281.8,16254.7,SELL,16281.699911411206,27.099999999998545
2021-08-06,Friday,16254.7,16252.95,SELL,16254.6004104739,1.75
2021-08-09,Monday,16252.95,16268.95,SELL,12689.337544856453,-16.0
2021-08-10,Tuesday,16268.95,16276.0,SELL,12893.802878324334,-7.049999999999272
2021-08-11,Wednesday,16276.0,16359.9,SELL,12689.337542831028,-83.89999999999964
2021-08-12,Thursday,16359.9,16517.0,SELL,16359.799744088923,-157.10000000000036
2021-08-13,Friday,16517.0,16546.7,SELL,16516.900099613522,-29.700000000000728
2021-08-16,Monday,16546.7,16611.2,SELL,12689.339930166117,-64.5
2021-08-17,Tuesday,16611.2,16552.05,SELL,16611.09974108692,59.150000000001455
2021-08-18,Wednesday,16552.05,16415.7,SELL,16551.950146738127,136.34999999999854
2021-08-20,Friday,16415.7,16487.9,SELL,16415.60031446578,-72.20000000000073
2021-08-23,Monday,16487.9,16614.35,SELL,12689.337542831026,-126.44999999999709
2021-08-24,Tuesday,16614.35,16633.25,SELL,16614.25037584628,-18.900000000001455
2021-08-25,Wednesday,16633.25,16633.5,SELL,16633.15012908941,-0.25
2021-08-26,Thursday,16633.5,16690.15,SELL,12689.337824741267,-56.650000000001455
2021-08-27,Friday,16690.15,16938.5,SELL,12690.129754100804,-248.34999999999854
