Date,Day,Current Close Price,Next Day Price,Predicted Direction,Predicted Value,Pnl
2020-12-31,Thursday,13967.2,14015.1,BUY,13969.87249182114,47.899999999999636
2021-01-01,Friday,14015.1,14144.5,SELL,13985.031648692115,-129.39999999999964
2021-01-04,Monday,14144.5,14196.35,SELL,14096.45049720421,-51.850000000000364
2021-01-05,Tuesday,14196.35,14132.8,SELL,14133.747684070182,63.55000000000109
2021-01-06,Wednesday,14132.8,14148.5,BUY,14160.954673875287,15.700000000000728
2021-01-07,Thursday,14148.5,14344.4,BUY,14176.695856084962,195.89999999999964
2021-01-08,Friday,14344.4,14485.25,SELL,14332.888300916335,-140.85000000000036
2021-01-11,Monday,14485.25,14573.95,BUY,14488.317359810675,88.70000000000073
2021-01-12,Tuesday,14573.95,14558.1,SELL,14567.619532678149,15.850000000000364
2021-01-13,Wednesday,14558.1,14596.1,BUY,14569.911321388947,38.0
2021-01-14,Thursday,14596.1,14434.5,SELL,14583.389941213845,161.60000000000036
2021-01-15,Friday,14434.5,14228.4,BUY,14444.463279385922,-206.10000000000036
2021-01-18,Monday,14228.4,14526.85,BUY,14250.282611450042,298.4500000000007
2021-01-19,Tuesday,14526.85,14623.1,SELL,14518.40847138887,-96.25
2021-01-20,Wednesday,14623.1,14631.0,BUY,14636.438098395909,7.899999999999636
2021-01-21,Thursday,14631.0,14367.0,BUY,14634.141465785966,-264.0
2021-01-22,Friday,14367.0,14247.95,BUY,14422.930006160736,-119.04999999999927
2021-01-25,Monday,14247.95,13963.7,BUY,14254.58271827487,-284.25
2021-01-27,Wednesday,13963.7,13821.4,BUY,14131.66389800311,-142.3000000000011
2021-01-28,Thursday,13821.4,13662.95,SELL,13781.37163198297,158.4499999999989
2021-01-29,Friday,13662.95,14331.1,BUY,13742.41073001644,668.1499999999996
2021-02-01,Monday,14331.1,14670.1,SELL,14190.010957949307,-339.0
2021-02-02,Tuesday,14670.1,14784.65,SELL,14661.785000546806,-114.54999999999927
2021-02-03,Wednesday,14784.65,14888.85,SELL,14748.913067523701,-104.20000000000073
2021-02-04,Thursday,14888.85,14939.35,SELL,14853.503215020713,-50.5
2021-02-05,Friday,14939.35,15127.75,SELL,14936.884080038546,-188.39999999999964
2021-02-08,Monday,15127.75,15110.6,SELL,15123.359031585556,17.149999999999636
2021-02-09,Tuesday,15110.6,15138.0,BUY,15122.683342231276,27.399999999999636
2021-02-10,Wednesday,15138.0,15181.25,SELL,15116.022491150059,-43.25
2021-02-11,Thursday,15181.25,15166.95,SELL,15156.985891271568,14.299999999999272
2021-02-12,Friday,15166.95,15335.5,SELL,15159.263780421617,-168.54999999999927
2021-02-15,Monday,15335.5,15318.0,SELL,15320.912465813864,17.5
2021-02-16,Tuesday,15318.0,15197.9,BUY,15337.548188205588,-120.10000000000036
2021-02-17,Wednesday,15197.9,15119.95,BUY,15233.552528207769,-77.94999999999891
2021-02-18,Thursday,15119.95,15004.2,BUY,15138.406746723607,-115.75
2021-02-19,Friday,15004.2,14642.25,BUY,15018.881428350376,-361.9500000000007
2021-02-22,Monday,14642.25,14716.8,BUY,14716.94215454276,74.54999999999927
2021-02-23,Tuesday,14716.8,14781.2,BUY,14722.886892697246,64.40000000000146
2021-02-24,Wednesday,14781.2,15105.45,BUY,14833.965871737864,324.25
2021-02-25,Thursday,15105.45,14522.4,BUY,15127.91919557751,-583.0500000000011
2021-02-26,Friday,14522.4,14785.8,BUY,14562.633887733984,263.39999999999964
2021-03-01,Monday,14785.8,14944.75,SELL,14727.897394248534,-158.95000000000073
2021-03-02,Tuesday,14944.75,15240.5,SELL,14925.140354142337,-295.75
2021-03-03,Wednesday,15240.5,15088.3,SELL,15184.110265476807,152.20000000000073
2021-03-04,Thursday,15088.3,14962.85,BUY,15097.939315783708,-125.44999999999891
2021-03-05,Friday,14962.85,14963.0,SELL,14942.660337960251,-0.1499999999996362
2021-03-08,Monday,14963.0,15099.0,BUY,15048.339804196356,136.0
